PCB Bancorp Price to Free Cash Flow Ratio Historical Data,PCB Bancorp Price to Free Cash Flow Ratio Historical Data,PCB Bancorp Price to Free Cash Flow Ratio Historical Data,PCB Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.88,,7.76
2024-12-31,20.24,$2.43,8.32
2024-09-30,18.79,$2.80,6.7
2024-06-30,16.28,$3.25,5.0
2024-03-31,16.33,$3.48,4.69
2023-12-31,18.43,$4.30,4.28
2023-09-30,15.45,$4.56,3.39
2023-06-30,14.71,$3.32,4.43
2023-03-31,14.49,$2.78,5.22
2022-12-31,17.69,$3.44,5.14
2022-09-30,18.07,$2.43,7.44
2022-06-30,18.54,$1.90,9.77
2022-03-31,22.61,$1.21,18.67
2021-12-31,21.5,$-0.13,0.0
2021-09-30,19.39,$2.30,8.42
2021-06-30,15.58,$1.23,12.65
2021-03-31,14.43,$2.05,7.05
2020-12-31,9.65,$0.99,9.74
2020-09-30,8.31,$-1.10,0.0
2020-06-30,9.64,$0.99,9.69
2020-03-31,9.06,$0.71,12.78
2019-12-31,15.88,$1.82,8.73
2019-09-30,15.05,$2.53,5.95
2019-06-30,15.53,$3.05,5.1
