York Water Price to Free Cash Flow Ratio Historical Data,York Water Price to Free Cash Flow Ratio Historical Data,York Water Price to Free Cash Flow Ratio Historical Data,York Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.04,,0.0
2024-12-31,32.72,$-1.23,0.0
2024-09-30,37.46,$-1.56,0.0
2024-06-30,36.88,$-1.79,0.0
2024-03-31,35.86,$-2.15,0.0
2023-12-31,37.96,$-2.29,0.0
2023-09-30,36.65,$-2.47,0.0
2023-06-30,40.13,$-2.54,0.0
2023-03-31,43.25,$-2.18,0.0
2022-12-31,43.32,$-2.04,0.0
2022-09-30,36.85,$-1.37,0.0
2022-06-30,38.57,$-1.14,0.0
2022-03-31,42.69,$-0.98,0.0
2021-12-31,47.05,$-0.88,0.0
2021-09-30,41.12,$-1.62,0.0
2021-06-30,42.47,$-1.27,0.0
2021-03-31,45.72,$-1.04,0.0
2020-12-31,43.32,$-0.91,0.0
2020-09-30,39.14,$0.04,978.38
2020-06-30,44.22,$0.05,867.01
2020-03-31,39.92,$-0.08,0.0
2019-12-31,42.17,$0.04,1198.11
2019-09-30,39.78,$-0.15,0.0
2019-06-30,32.42,$0.01,0.0
2019-03-31,30.99,$0.11,289.36
2018-12-31,28.81,$0.12,249.45
2018-09-30,27.17,$0.35,78.47
2018-06-30,28.27,$0.15,188.84
2018-03-31,27.42,$-0.05,0.0
2017-12-31,29.81,$-0.35,0.0
2017-09-30,29.67,$-0.36,0.0
2017-06-30,30.36,$-0.12,0.0
2017-03-31,30.39,$0.26,115.47
2016-12-31,32.98,$0.49,67.82
2016-09-30,25.5,$0.72,35.49
2016-06-30,27.4,$0.62,43.86
2016-03-31,25.98,$0.62,41.88
2015-12-31,21.11,$0.54,39.45
2015-09-30,17.69,$0.26,68.79
2015-06-30,17.43,$0.37,47.05
2015-03-31,20.16,$0.40,50.83
2014-12-31,19.15,$0.39,49.59
2014-09-30,16.4,$0.51,32.41
2014-06-30,16.95,$0.58,29.13
2014-03-31,16.49,$0.55,29.83
2013-12-31,16.8,$0.66,25.3
2013-09-30,16.0,$0.66,24.16
2013-06-30,15.07,$0.55,27.59
2013-03-31,14.78,$0.41,36.27
2012-12-31,13.72,$0.38,36.11
2012-09-30,14.2,$0.38,37.04
2012-06-30,13.76,$0.37,37.05
2012-03-31,13.2,$0.51,25.78
2011-12-31,13.36,$0.63,21.26
2011-09-30,12.16,$0.46,26.62
2011-06-30,12.34,$0.46,26.62
2011-03-31,12.88,$0.31,41.41
2010-12-31,12.69,$0.33,38.03
2010-09-30,11.68,$0.40,29.56
2010-06-30,10.26,$0.40,25.57
2010-03-31,9.85,$0.34,29.04
2009-12-31,10.3,$0.28,36.89
