Urogen Pharma Price to Free Cash Flow Ratio Historical Data,Urogen Pharma Price to Free Cash Flow Ratio Historical Data,Urogen Pharma Price to Free Cash Flow Ratio Historical Data,Urogen Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.02,,0.0
2024-12-31,10.65,$-2.26,0.0
2024-09-30,12.7,$-2.62,0.0
2024-06-30,16.78,$-2.20,0.0
2024-03-31,15.0,$-2.50,0.0
2023-12-31,15.0,$-2.66,0.0
2023-09-30,14.01,$-2.92,0.0
2023-06-30,10.35,$-3.69,0.0
2023-03-31,9.24,$-3.90,0.0
2022-12-31,8.87,$-3.85,0.0
2022-09-30,8.32,$-3.81,0.0
2022-06-30,8.19,$-3.87,0.0
2022-03-31,8.71,$-3.65,0.0
2021-12-31,9.51,$-3.83,0.0
2021-09-30,16.82,$-3.95,0.0
2021-06-30,15.27,$-4.25,0.0
2021-03-31,19.48,$-4.47,0.0
2020-12-31,18.02,$-4.92,0.0
2020-09-30,19.29,$-5.20,0.0
2020-06-30,26.12,$-4.67,0.0
2020-03-31,17.84,$-4.23,0.0
2019-12-31,33.37,$-3.48,0.0
2019-09-30,23.83,$-2.85,0.0
2019-06-30,35.94,$-2.83,0.0
2019-03-31,36.94,$-2.70,0.0
2018-12-31,43.06,$-2.41,0.0
2018-09-30,47.23,$-2.44,0.0
2018-06-30,49.76,$-1.47,0.0
2018-03-31,49.69,$-1.65,0.0
