Rigel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rigel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rigel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rigel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.37,,11.43
2024-12-31,16.82,$1.78,9.43
2024-09-30,16.18,$0.61,26.52
2024-06-30,8.22,$-0.70,0.0
2024-03-31,14.8,$-0.37,0.0
2023-12-31,14.5,$-0.32,0.0
2023-09-30,10.8,$-1.27,0.0
2023-06-30,12.9,$-1.95,0.0
2023-03-31,13.2,$-3.02,0.0
2022-12-31,15.0,$-4.30,0.0
2022-09-30,11.8,$-4.11,0.0
2022-06-30,11.3,$-3.97,0.0
2022-03-31,29.9,$-0.06,0.0
2021-12-31,26.5,$0.31,86.04
2021-09-30,36.3,$0.47,77.58
2021-06-30,43.4,$-0.07,0.0
2021-03-31,34.2,$-4.09,0.0
2020-12-31,35.0,$-3.17,0.0
2020-09-30,24.0,$-2.83,0.0
2020-06-30,18.3,$-2.56,0.0
2020-03-31,15.6,$-2.73,0.0
2019-12-31,21.4,$-2.57,0.0
2019-09-30,18.7,$-1.39,0.0
2019-06-30,26.1,$-1.62,0.0
2019-03-31,25.7,$-2.19,0.0
2018-12-31,23.0,$-3.73,0.0
2018-09-30,32.1,$-5.80,0.0
2018-06-30,28.3,$-6.04,0.0
2018-03-31,35.4,$-5.93,0.0
2017-12-31,38.8,$-6.09,0.0
2017-09-30,25.4,$-5.98,0.0
2017-06-30,27.3,$-6.87,0.0
2017-03-31,33.1,$-7.37,0.0
2016-12-31,23.8,$-8.12,0.0
2016-09-30,36.7,$-8.30,0.0
2016-06-30,22.3,$-7.15,0.0
2016-03-31,20.8,$-7.25,0.0
2015-12-31,30.3,$-2.70,0.0
2015-09-30,24.6,$-2.84,0.0
2015-06-30,32.1,$-3.82,0.0
2015-03-31,35.7,$-4.04,0.0
2014-12-31,22.7,$-7.98,0.0
2014-09-30,19.4,$-8.46,0.0
2014-06-30,36.3,$-8.75,0.0
2014-03-31,38.8,$-8.94,0.0
2013-12-31,28.5,$-10.00,0.0
2013-09-30,35.8,$-10.35,0.0
2013-06-30,33.4,$-10.75,0.0
2013-03-31,68.0,$-11.29,0.0
2012-12-31,65.0,$-11.81,0.0
2012-09-30,102.4,$-13.17,0.0
2012-06-30,93.0,$-11.04,0.0
2012-03-31,80.5,$-10.66,0.0
2011-12-31,78.9,$-11.32,0.0
2011-09-30,73.6,$-5.62,0.0
2011-06-30,91.7,$-8.80,0.0
2011-03-31,71.1,$8.61,8.26
2010-12-31,75.3,$8.21,9.17
2010-09-30,84.1,$2.11,39.83
2010-06-30,72.0,$-0.18,0.0
2010-03-31,79.7,$-21.78,0.0
2009-12-31,95.1,$-25.18,0.0
