CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data,CSX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.98,,20.92
2024-12-31,32.27,$1.43,22.52
2024-09-30,34.42,$1.54,22.28
2024-06-30,33.22,$1.50,22.19
2024-03-31,36.69,$1.55,23.66
2023-12-31,34.21,$1.66,20.58
2023-09-30,30.23,$1.64,18.41
2023-06-30,33.41,$1.68,19.91
2023-03-31,29.23,$1.68,17.37
2022-12-31,30.14,$1.73,17.41
2022-09-30,25.83,$1.76,14.68
2022-06-30,28.09,$1.69,16.65
2022-03-31,36.09,$1.74,20.72
2021-12-31,36.13,$1.70,21.23
2021-09-30,28.5,$1.60,17.77
2021-06-30,30.66,$1.37,22.37
2021-03-31,30.63,$1.21,25.22
2020-12-31,28.74,$1.17,24.6
2020-09-30,24.53,$1.13,21.66
2020-06-30,21.95,$1.38,15.9
2020-03-31,17.97,$1.44,12.44
2019-12-31,22.61,$1.44,15.71
2019-09-30,21.57,$1.46,14.75
2019-06-30,24.01,$1.41,16.98
2019-03-31,23.14,$1.35,17.08
2018-12-31,19.15,$1.24,15.39
2018-09-30,22.83,$0.97,23.42
2018-06-30,19.61,$0.84,23.31
2018-03-31,17.07,$0.58,29.38
2017-12-31,16.78,$0.56,30.1
2017-09-30,16.49,$0.51,32.6
2017-06-30,16.52,$0.34,49.06
2017-03-31,14.04,$0.40,34.97
2016-12-31,10.8,$0.29,36.64
2016-09-30,9.12,$0.42,21.68
2016-06-30,7.75,$0.39,19.73
2016-03-31,7.6,$0.41,18.69
2015-12-31,7.6,$0.32,23.49
2015-09-30,7.83,$0.27,28.92
2015-06-30,9.44,$0.26,36.58
2015-03-31,9.53,$0.31,30.95
2014-12-31,10.38,$0.32,32.63
2014-09-30,9.14,$0.33,27.61
2014-06-30,8.74,$0.34,25.47
2014-03-31,8.17,$0.29,27.98
2013-12-31,8.07,$0.33,24.51
2013-09-30,7.18,$0.37,19.55
2013-06-30,6.43,$0.39,16.38
2013-03-31,6.79,$0.34,20.0
2012-12-31,5.41,$0.25,21.33
2012-09-30,5.65,$0.24,24.01
2012-06-30,6.05,$0.27,22.55
2012-03-31,5.78,$0.40,14.59
2011-12-31,5.63,$0.44,12.82
2011-09-30,4.96,$0.46,10.89
2011-06-30,6.93,$0.42,16.39
2011-03-31,6.89,$0.36,19.18
2010-12-31,5.64,$0.44,12.78
2010-09-30,4.81,$0.37,13.0
2010-06-30,4.3,$0.31,13.95
2010-03-31,4.39,$0.26,16.71
2009-12-31,4.16,$0.18,22.49
