Pluri Price to Free Cash Flow Ratio Historical Data,Pluri Price to Free Cash Flow Ratio Historical Data,Pluri Price to Free Cash Flow Ratio Historical Data,Pluri Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.45,,0.0
2024-12-31,4.28,$-3.25,0.0
2024-09-30,6.05,$-3.13,0.0
2024-06-30,5.78,$-3.50,0.0
2024-03-31,6.45,$-3.70,0.0
2023-12-31,4.64,$-3.54,0.0
2023-09-30,4.8,$-4.31,0.0
2023-06-30,6.42,$-5.05,0.0
2023-03-31,8.16,$-6.19,0.0
2022-12-31,7.52,$-7.87,0.0
2022-09-30,6.24,$-8.83,0.0
2022-06-30,9.84,$-9.14,0.0
2022-03-31,16.56,$-10.04,0.0
2021-12-31,11.68,$-9.13,0.0
2021-09-30,21.2,$-9.15,0.0
2021-06-30,31.68,$-8.90,0.0
2021-03-31,38.16,$-8.49,0.0
2020-12-31,56.56,$-9.27,0.0
2020-09-30,84.24,$-9.87,0.0
2020-06-30,70.72,$-11.71,0.0
2020-03-31,29.36,$-12.64,0.0
2019-12-31,31.52,$-14.40,0.0
2019-09-30,29.92,$-16.93,0.0
2019-06-30,49.66,$-19.26,0.0
2019-03-31,77.6,$-20.61,0.0
2018-12-31,63.05,$-20.37,0.0
2018-09-30,104.0,$-18.14,0.0
2018-06-30,97.6,$-16.41,0.0
2018-03-31,109.6,$-18.01,0.0
2017-12-31,110.4,$-18.02,0.0
2017-09-30,120.8,$-20.45,0.0
2017-06-30,102.4,$-20.09,0.0
2017-03-31,98.4,$-19.44,0.0
2016-12-31,114.4,$-21.27,0.0
2016-09-30,128.0,$-19.44,0.0
2016-06-30,106.4,$-20.36,0.0
2016-03-31,128.8,$-20.50,0.0
2015-12-31,90.4,$-22.37,0.0
2015-09-30,145.6,$-25.02,0.0
2015-06-30,201.6,$-24.38,0.0
2015-03-31,224.0,$-25.90,0.0
2014-12-31,200.0,$-24.94,0.0
2014-09-30,228.8,$-22.88,0.0
2014-06-30,249.6,$-26.07,0.0
2014-03-31,296.0,$-28.37,0.0
2013-12-31,281.6,$-28.40,0.0
2013-09-30,270.39,$-28.87,0.0
2013-06-30,244.8,$-30.56,0.0
2013-03-31,245.6,$-22.77,0.0
2012-12-31,255.2,$-21.36,0.0
2012-09-30,315.2,$-23.98,0.0
2012-06-30,192.0,$-8.64,0.0
2012-03-31,184.8,$-14.50,0.0
2011-12-31,199.2,$-9.82,0.0
2011-09-30,173.61,$-6.88,0.0
2011-06-30,232.0,$-17.15,0.0
2011-03-31,206.8,$-19.10,0.0
2010-12-31,114.4,$-26.82,0.0
2010-09-30,119.19,$-25.94,0.0
2010-06-30,92.0,$-27.27,0.0
2010-03-31,88.79,$-28.28,0.0
2009-12-31,92.8,$-43.82,0.0
