Hennessy Capital Investment VI Price to Free Cash Flow Ratio Historical Data,Hennessy Capital Investment VI Price to Free Cash Flow Ratio Historical Data,Hennessy Capital Investment VI Price to Free Cash Flow Ratio Historical Data,Hennessy Capital Investment VI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.8,,0.0
2024-09-30,11.59,$-0.34,0.0
2024-06-30,10.55,$-0.35,0.0
2024-03-31,10.43,$-0.43,0.0
2023-12-31,10.45,$-0.37,0.0
2023-09-30,10.33,$-0.34,0.0
2023-06-30,10.26,$-0.38,0.0
2023-03-31,10.1,$-0.22,0.0
2022-12-31,9.87,$-0.21,0.0
2022-09-30,9.7,$-0.21,0.0
