Solidion Technology Price to Free Cash Flow Ratio Historical Data,Solidion Technology Price to Free Cash Flow Ratio Historical Data,Solidion Technology Price to Free Cash Flow Ratio Historical Data,Solidion Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.15,,0.0
2024-09-30,0.37,$-0.84,0.0
2024-06-30,0.55,$-0.84,0.0
2024-03-31,2.75,$-0.84,0.0
2023-12-31,7.7,$-0.83,0.0
2023-09-30,10.82,$-0.06,0.0
2023-06-30,10.57,$-0.07,0.0
2023-03-31,10.55,$-0.25,0.0
