Warrior Met Coal Price to Free Cash Flow Ratio Historical Data,Warrior Met Coal Price to Free Cash Flow Ratio Historical Data,Warrior Met Coal Price to Free Cash Flow Ratio Historical Data,Warrior Met Coal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.1,,0.0
2024-12-31,54.24,$-1.72,0.0
2024-09-30,63.82,$0.98,64.87
2024-06-30,62.61,$2.62,23.88
2024-03-31,60.48,$1.71,35.44
2023-12-31,60.13,$4.02,14.94
2023-09-30,50.31,$4.91,10.24
2023-06-30,38.29,$8.28,4.63
2023-03-31,36.02,$13.56,2.66
2022-12-31,33.15,$12.31,2.69
2022-09-30,27.17,$13.13,2.07
2022-06-30,28.53,$10.16,2.81
2022-03-31,33.98,$6.17,5.51
2021-12-31,23.51,$5.71,4.12
2021-09-30,21.23,$3.07,6.92
2021-06-30,15.65,$2.17,7.21
2021-03-31,15.54,$1.23,12.67
2020-12-31,19.29,$0.49,39.02
2020-09-30,15.4,$0.11,139.13
2020-06-30,13.83,$2.43,5.69
2020-03-31,9.51,$6.31,1.51
2019-12-31,18.87,$8.32,2.27
2019-09-30,17.39,$10.49,1.66
2019-06-30,23.21,$9.58,2.42
2019-03-31,26.98,$7.47,3.61
2018-12-31,21.36,$8.71,2.45
2018-09-30,23.91,$7.79,3.07
2018-06-30,24.33,$7.81,3.12
2018-03-31,19.18,$9.70,1.98
