"Belpointe PREP, LLC Price to Free Cash Flow Ratio Historical Data","Belpointe PREP, LLC Price to Free Cash Flow Ratio Historical Data","Belpointe PREP, LLC Price to Free Cash Flow Ratio Historical Data","Belpointe PREP, LLC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,64.25,,0.0
2024-09-30,69.02,$-45.82,0.0
2024-06-30,57.9,$-49.08,0.0
2024-03-31,60.89,$-47.17,0.0
2023-12-31,77.25,$-41.28,0.0
2023-09-30,85.7,$-32.71,0.0
2023-06-30,87.0,$-23.28,0.0
2023-03-31,93.8,$-18.43,0.0
2022-12-31,100.0,$-13.54,0.0
2022-09-30,84.45,$-33.91,0.0
