Accelerate Diagnostics Price to Free Cash Flow Ratio Historical Data,Accelerate Diagnostics Price to Free Cash Flow Ratio Historical Data,Accelerate Diagnostics Price to Free Cash Flow Ratio Historical Data,Accelerate Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.13,,0.0
2024-09-30,1.71,$-1.78,0.0
2024-06-30,1.17,$-1.81,0.0
2024-03-31,0.99,$-2.41,0.0
2023-12-31,3.92,$-3.30,0.0
2023-09-30,5.75,$-3.76,0.0
2023-06-30,8.1,$-4.79,0.0
2023-03-31,7.0,$-5.43,0.0
2022-12-31,7.06,$-6.00,0.0
2022-09-30,15.2,$-6.50,0.0
2022-06-30,9.93,$-7.42,0.0
2022-03-31,14.4,$-7.40,0.0
2021-12-31,52.2,$-7.76,0.0
2021-09-30,58.3,$-7.74,0.0
2021-06-30,80.6,$-7.94,0.0
2021-03-31,83.2,$-8.24,0.0
2020-12-31,75.8,$-9.24,0.0
2020-09-30,106.6,$-9.91,0.0
2020-06-30,151.6,$-10.83,0.0
2020-03-31,83.3,$-11.64,0.0
2019-12-31,169.0,$-11.95,0.0
2019-09-30,185.7,$-11.96,0.0
2019-06-30,228.8,$-12.10,0.0
2019-03-31,210.2,$-13.09,0.0
2018-12-31,115.0,$-12.62,0.0
2018-09-30,229.5,$-12.83,0.0
2018-06-30,223.0,$-12.00,0.0
2018-03-31,228.5,$-10.95,0.0
2017-12-31,262.0,$-10.86,0.0
2017-09-30,224.5,$-10.57,0.0
2017-06-30,273.5,$-10.55,0.0
2017-03-31,242.0,$-11.00,0.0
2016-12-31,207.5,$-10.89,0.0
2016-09-30,272.6,$-10.77,0.0
2016-06-30,143.9,$-10.37,0.0
2016-03-31,143.7,$-9.70,0.0
2015-12-31,214.9,$-8.62,0.0
2015-09-30,161.8,$-7.53,0.0
2015-06-30,258.1,$-6.93,0.0
2015-03-31,225.0,$-5.60,0.0
2014-12-31,191.9,$-4.75,0.0
2014-09-30,214.8,$-4.31,0.0
2014-06-30,260.0,$-3.56,0.0
2014-03-31,218.1,$-2.87,0.0
2013-12-31,122.0,$-2.90,0.0
2013-09-30,134.1,$-1.60,0.0
2013-06-30,81.2,$-0.76,0.0
2013-03-31,72.7,$-1.01,0.0
2012-12-31,40.3,$1.15,35.12
2012-10-31,36.0,$0.01,0.0
2012-09-30,33.3,$-0.36,0.0
2012-07-31,32.7,0,0.0
2012-06-30,26.9,$-1.32,0.0
2012-04-30,27.3,$-0.70,0.0
2012-03-31,10.5,$-0.60,0.0
2012-01-31,12.8,$-0.46,0.0
2011-10-31,28.7,$-0.09,0.0
2011-07-31,38.9,$-0.04,0.0
2011-04-30,38.6,$0.99,38.81
2011-01-31,13.0,$0.80,16.24
2010-10-31,11.0,$-0.04,0.0
2010-07-31,8.7,$-0.30,0.0
2010-04-30,8.3,$-1.00,0.0
2010-01-31,6.8,$-0.79,0.0
2009-10-31,12.8,$-0.30,0.0
