Ikena Oncology Price to Free Cash Flow Ratio Historical Data,Ikena Oncology Price to Free Cash Flow Ratio Historical Data,Ikena Oncology Price to Free Cash Flow Ratio Historical Data,Ikena Oncology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,0.0
2024-12-31,1.64,$-0.94,0.0
2024-09-30,1.73,$-1.40,0.0
2024-06-30,1.65,$-1.58,0.0
2024-03-31,1.42,$-1.75,0.0
2023-12-31,1.97,$-1.92,0.0
2023-09-30,4.33,$-1.83,0.0
2023-06-30,6.56,$-1.97,0.0
2023-03-31,3.45,$-2.09,0.0
2022-12-31,2.66,$-2.09,0.0
2022-09-30,3.55,$-2.47,0.0
2022-06-30,4.43,$-2.47,0.0
2022-03-31,6.1,$0.87,6.98
2021-12-31,12.54,$-2.22,0.0
