Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data,Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data,Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data,Ardagh Metal Packaging S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.98,,6.12
2024-12-31,3.01,$0.49,6.18
2024-09-30,3.77,$0.52,7.31
2024-06-30,3.4,$0.51,6.7
2024-03-31,3.43,$0.39,8.83
2023-12-31,3.84,$0.42,9.22
2023-09-30,3.13,$-0.02,0.0
2023-06-30,3.76,$-0.35,0.0
2023-03-31,4.08,$-0.76,0.0
2022-12-31,4.81,$-0.63,0.0
2022-09-30,4.84,$-0.82,0.0
2022-06-30,6.1,$-0.65,0.0
2022-03-31,7.86,$-0.92,0.0
2021-12-31,8.73,$-0.41,0.0
2021-09-30,9.63,$-0.44,0.0
2021-06-30,9.77,$-0.46,0.0
