Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,111.78,,21.6
2024-12-31,105.63,$5.18,20.41
2024-09-30,107.95,$5.35,20.19
2024-06-30,108.29,$4.69,23.08
2024-03-31,131.4,$4.26,30.83
2023-12-31,120.94,$4.67,25.91
2023-09-30,111.3,$3.08,36.14
2023-06-30,144.1,$3.76,38.33
2023-03-31,127.66,$4.11,31.04
2022-12-31,125.74,$4.33,29.06
2022-09-30,102.91,$4.82,21.35
2022-06-30,103.18,$4.72,21.87
2022-03-31,125.34,$5.16,24.31
2021-12-31,124.26,$4.69,26.49
2021-09-30,142.88,$4.82,29.65
2021-06-30,156.75,$4.71,33.26
2021-03-31,155.8,$2.43,64.18
2020-12-31,149.75,$3.40,43.99
2020-09-30,132.09,$3.67,35.97
2020-06-30,115.6,$4.35,26.6
2020-03-31,97.7,$5.83,16.75
2019-12-31,144.33,$5.14,28.07
2019-09-30,132.15,$5.03,26.27
2019-06-30,113.14,$4.65,24.32
2019-03-31,122.46,$5.34,22.92
2018-12-31,99.28,$6.43,15.44
2018-09-30,125.54,$6.47,19.42
2018-06-30,106.22,$6.48,16.38
2018-03-31,103.71,$6.60,15.71
2017-12-31,114.51,$5.35,21.41
2017-09-30,110.9,$6.36,17.43
2017-06-30,121.35,$5.64,21.53
2017-03-31,115.19,$5.37,21.45
2016-12-31,97.16,$5.44,17.85
2016-09-30,122.13,$4.86,25.12
2016-06-30,112.86,$3.61,31.26
2016-03-31,99.77,$3.01,33.12
2015-12-31,95.77,$2.19,43.73
2015-09-30,87.5,$2.02,43.27
2015-06-30,101.51,$3.31,30.65
2015-03-31,109.0,$3.52,30.93
2014-12-31,105.0,$4.18,25.1
2014-09-30,92.91,$4.03,23.07
2014-06-30,95.76,$4.21,22.73
2014-03-31,87.02,$3.91,22.23
2013-12-31,85.54,$3.90,21.93
2013-09-30,75.24,$4.02,18.73
2013-06-30,68.48,$4.45,15.4
2013-03-31,68.55,$4.77,14.37
2012-12-31,60.58,$5.05,12.0
2012-09-30,61.29,$5.17,11.86
2012-06-30,58.18,$5.03,11.56
2012-03-31,57.94,$5.09,11.39
2011-12-31,48.01,$4.81,9.98
2011-09-30,48.07,$4.29,11.19
2011-06-30,56.81,$4.13,13.75
2011-03-31,54.41,$4.18,13.03
2010-12-31,48.25,$4.58,10.53
2010-09-30,47.03,$4.94,9.52
2010-06-30,48.58,$5.04,9.63
2010-03-31,53.21,$4.65,11.44
2009-12-31,53.13,$4.12,12.9
