CPB Price to Free Cash Flow Ratio Historical Data,CPB Price to Free Cash Flow Ratio Historical Data,CPB Price to Free Cash Flow Ratio Historical Data,CPB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.93,,9.7
2024-12-31,29.05,$2.78,10.46
2024-09-30,29.27,$2.83,10.35
2024-06-30,20.83,$3.46,6.02
2024-03-31,19.41,$3.62,5.36
2023-12-31,19.07,$3.64,5.23
2023-09-30,15.92,$3.71,4.29
2023-06-30,14.77,$3.66,4.04
2023-03-31,16.54,$3.70,4.47
2022-12-31,18.53,$3.47,5.34
2022-09-30,18.67,$3.62,5.16
2022-06-30,19.13,$2.86,6.69
2022-03-31,24.61,$3.05,8.06
2021-12-31,24.63,$3.13,7.88
2021-09-30,22.25,$3.00,7.42
2021-06-30,22.36,$1.75,12.8
2021-03-31,22.7,$1.27,17.81
2020-12-31,16.01,$1.80,8.88
2020-09-30,11.28,$1.30,8.68
2020-06-30,13.14,$2.61,5.04
2020-03-31,12.85,$2.31,5.57
2019-12-31,23.69,$2.27,10.45
2019-09-30,22.57,$2.51,8.98
2019-06-30,23.61,$3.03,7.79
2019-03-31,22.54,$3.28,6.87
2018-12-31,18.9,$3.39,5.58
2018-09-30,20.51,$3.18,6.44
2018-06-30,22.07,$2.82,7.82
2018-03-31,21.77,$2.51,8.67
2017-12-31,22.67,$2.95,7.69
2017-09-30,24.32,$2.65,9.19
2017-06-30,23.63,$2.60,9.09
2017-03-31,22.8,$3.06,7.46
2016-12-31,23.34,$2.40,9.73
2016-09-30,18.61,$2.35,7.92
2016-06-30,17.33,$2.84,6.11
2016-03-31,15.89,$2.44,6.52
2015-12-31,15.96,$2.10,7.59
2015-09-30,14.9,$1.98,7.52
2015-06-30,16.78,$1.64,10.21
2015-03-31,16.15,$1.70,9.5
2014-12-31,15.04,$1.72,8.72
2014-09-30,12.47,$1.90,6.58
2014-06-30,13.73,$1.04,13.25
2014-03-31,13.92,$1.54,9.01
2013-12-31,13.78,$1.85,7.45
2013-09-30,12.1,$1.45,8.35
2013-06-30,12.24,$1.94,6.32
2013-03-31,10.68,$0.96,11.1
2012-12-31,10.6,$0.85,12.5
2012-09-30,9.73,$1.35,7.2
2012-06-30,9.6,$0.58,16.45
2012-03-31,8.81,$-0.00,0.0
2011-12-31,8.79,$0.62,14.27
2011-09-30,7.02,$61.92,0.11
2011-06-30,9.52,$103.40,0.09
2011-03-31,14.15,$118.91,0.12
2010-12-31,20.81,$157.78,0.13
2010-09-30,19.45,$113.93,0.17
2010-06-30,20.4,$139.03,0.15
2010-03-31,22.85,$129.39,0.18
2009-12-31,17.82,$90.57,0.2
