Immix Biopharma Price to Free Cash Flow Ratio Historical Data,Immix Biopharma Price to Free Cash Flow Ratio Historical Data,Immix Biopharma Price to Free Cash Flow Ratio Historical Data,Immix Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.82,,0.0
2024-09-30,1.49,$-0.66,0.0
2024-06-30,1.98,$-0.62,0.0
2024-03-31,3.07,$-0.68,0.0
2023-12-31,6.92,$-0.66,0.0
2023-09-30,3.42,$-0.75,0.0
2023-06-30,2.69,$-0.76,0.0
2023-03-31,1.82,$-0.58,0.0
2022-12-31,2.29,$-0.53,0.0
2022-09-30,1.36,$-0.68,0.0
