Aethlon Medical Price to Free Cash Flow Ratio Historical Data,Aethlon Medical Price to Free Cash Flow Ratio Historical Data,Aethlon Medical Price to Free Cash Flow Ratio Historical Data,Aethlon Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.86,$-1.46,0.0
2024-09-30,0.47,$-2.23,0.0
2024-06-30,0.5,$-3.25,0.0
2024-03-31,1.68,$-4.13,0.0
2023-12-31,2.19,$-4.98,0.0
2023-09-30,2.26,$-4.68,0.0
2023-06-30,3.6,$-4.90,0.0
2023-03-31,3.83,$-5.57,0.0
2022-12-31,2.75,$-6.14,0.0
2022-09-30,5.82,$-7.32,0.0
2022-06-30,11.2,$-7.00,0.0
2022-03-31,14.6,$-6.86,0.0
2021-12-31,18.6,$-6.28,0.0
2021-09-30,38.6,$-6.31,0.0
2021-06-30,49.2,$-6.13,0.0
2021-03-31,20.3,$-5.64,0.0
2020-12-31,24.7,$-6.55,0.0
2020-09-30,13.5,$0.92,14.66
2020-06-30,20.3,$-7.00,0.0
2020-03-31,15.2,$-15.66,0.0
2019-12-31,9.63,$-24.37,0.0
2019-09-30,34.5,$-38.81,0.0
2019-06-30,54.75,$-38.45,0.0
2019-03-31,142.5,$-35.53,0.0
2018-12-31,249.0,$-42.72,0.0
2018-09-30,177.0,$-27.86,0.0
2018-06-30,192.0,$-36.12,0.0
2018-03-31,178.5,$-47.90,0.0
2017-12-31,169.5,$-48.94,0.0
2017-09-30,231.0,$-69.17,0.0
2017-06-30,321.0,$-70.40,0.0
2017-03-31,489.86,$-68.02,0.0
2016-12-31,630.0,$-73.08,0.0
2016-09-30,753.0,$-78.02,0.0
2016-06-30,855.0,$-104.29,0.0
