Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data,Celanese Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.82,,11.69
2024-12-31,69.21,$4.86,14.24
2024-09-30,135.21,$7.72,17.52
2024-06-30,133.48,$10.28,12.98
2024-03-31,169.3,$14.22,11.9
2023-12-31,152.35,$12.17,12.52
2023-09-30,122.32,$9.38,13.04
2023-06-30,112.23,$9.91,11.33
2023-03-31,104.84,$7.66,13.69
2022-12-31,97.86,$11.68,8.38
2022-09-30,85.85,$11.73,7.32
2022-06-30,111.09,$13.53,8.21
2022-03-31,134.3,$12.94,10.38
2021-12-31,157.24,$11.51,13.66
2021-09-30,140.35,$9.43,14.89
2021-06-30,140.62,$7.66,18.36
2021-03-31,138.36,$7.31,18.94
2020-12-31,119.38,$8.26,14.45
2020-09-30,98.19,$8.04,12.21
2020-06-30,78.38,$7.66,10.23
2020-03-31,66.1,$8.09,8.18
2019-12-31,110.27,$8.70,12.68
2019-09-30,108.98,$9.31,11.7
2019-06-30,95.54,$9.55,10.0
2019-03-31,86.9,$10.38,8.37
2018-12-31,78.86,$9.02,8.75
2018-09-30,99.92,$6.77,14.76
2018-06-30,96.89,$5.32,18.23
2018-03-31,87.0,$3.37,25.81
2017-12-31,92.54,$3.88,23.88
2017-09-30,89.72,$3.35,26.76
2017-06-30,81.3,$3.68,22.11
2017-03-31,76.54,$3.90,19.63
2016-12-31,66.81,$4.44,15.04
2016-09-30,56.19,$5.51,10.2
2016-06-30,54.95,$4.23,12.98
2016-03-31,54.72,$3.01,18.19
2015-12-31,55.95,$2.25,24.91
2015-09-30,48.96,$1.63,29.98
2015-06-30,59.2,$2.36,25.05
2015-03-31,45.8,$2.42,18.94
2014-12-31,48.95,$1.82,26.92
2014-09-30,47.57,$2.40,19.82
2014-06-30,52.03,$1.96,26.56
2014-03-31,44.75,$2.08,21.5
2013-12-31,44.43,$2.42,18.39
2013-09-30,42.27,$1.93,21.85
2013-06-30,35.74,$2.18,16.39
2013-03-31,35.08,$1.84,19.11
2012-12-31,35.41,$1.95,18.14
2012-09-30,30.08,$2.29,13.12
2012-06-30,27.42,$1.37,20.07
2012-03-31,36.53,$1.08,33.77
2011-12-31,34.97,$0.53,65.4
2011-09-30,25.66,$-0.11,0.0
2011-06-30,42.0,$-0.00,0.0
2011-03-31,34.92,$-0.45,0.0
2010-12-31,32.36,$-0.39,0.0
2010-09-30,25.2,$2.62,9.61
2010-06-30,19.52,$2.25,8.66
2010-03-31,24.92,$2.15,11.58
2009-12-31,25.09,$2.67,9.39
