Where Food Comes From Price to Free Cash Flow Ratio Historical Data,Where Food Comes From Price to Free Cash Flow Ratio Historical Data,Where Food Comes From Price to Free Cash Flow Ratio Historical Data,Where Food Comes From Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.67,,24.21
2024-12-31,13.24,$0.48,27.47
2024-09-30,10.78,$0.53,20.33
2024-06-30,12.11,$0.59,20.5
2024-03-31,10.52,$0.52,20.06
2023-12-31,13.55,$0.48,28.11
2023-09-30,13.98,$0.38,36.94
2023-06-30,13.83,$0.28,49.66
2023-03-31,13.35,$0.33,40.96
2022-12-31,13.97,$0.43,32.87
2022-09-30,9.61,$0.52,18.6
2022-06-30,10.8,$0.61,17.58
2022-03-31,11.45,$0.51,22.56
2021-12-31,14.51,$0.49,29.74
2021-09-30,13.5,$0.50,26.96
2021-06-30,15.32,$0.34,45.12
2021-03-31,13.12,$0.36,36.57
2020-12-31,2.08,$0.33,6.4
