Hesai Group Price to Free Cash Flow Ratio Historical Data,Hesai Group Price to Free Cash Flow Ratio Historical Data,Hesai Group Price to Free Cash Flow Ratio Historical Data,Hesai Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.25,,0.0
2024-09-30,4.69,$-0.39,0.0
2024-06-30,4.19,$-0.39,0.0
2024-03-31,5.06,$-0.39,0.0
2023-12-31,8.91,$-0.39,0.0
