Cognex Price to Free Cash Flow Ratio Historical Data,Cognex Price to Free Cash Flow Ratio Historical Data,Cognex Price to Free Cash Flow Ratio Historical Data,Cognex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.15,,40.12
2024-12-31,35.86,$0.78,46.18
2024-09-30,40.42,$0.53,75.79
2024-06-30,46.58,$0.44,106.73
2024-03-31,42.19,$0.45,94.43
2023-12-31,41.43,$0.52,79.97
2023-09-30,42.04,$0.83,50.78
2023-06-30,55.41,$1.08,51.28
2023-03-31,48.94,$1.15,42.49
2022-12-31,46.47,$1.28,36.32
2022-09-30,40.82,$1.21,33.73
2022-06-30,41.82,$1.08,38.55
2022-03-31,75.78,$1.38,54.93
2021-12-31,76.3,$1.66,45.97
2021-09-30,78.65,$1.83,43.01
2021-06-30,82.35,$1.94,42.42
2021-03-31,81.25,$1.50,54.31
2020-12-31,78.54,$1.30,60.54
2020-09-30,62.01,$1.18,52.57
2020-06-30,56.84,$1.09,52.19
2020-03-31,40.15,$1.34,30.02
2019-12-31,53.22,$1.32,40.28
2019-09-30,46.61,$1.34,34.91
2019-06-30,45.46,$1.40,32.55
2019-03-31,48.14,$1.14,42.25
2018-12-31,36.57,$1.05,34.81
2018-09-30,52.72,$1.12,47.01
2018-06-30,42.1,$0.94,44.83
2018-03-31,49.02,$1.09,45.1
2017-12-31,57.61,$1.09,52.89
2017-09-30,51.93,$1.09,47.61
2017-06-30,39.94,$1.16,34.54
2017-03-31,39.46,$1.06,37.26
2016-12-31,29.87,$0.97,30.74
2016-09-30,24.79,$0.77,32.12
2016-06-30,20.18,$0.83,24.28
2016-03-31,18.21,$0.78,23.44
2015-12-31,15.76,$0.63,25.19
2015-09-30,16.01,$0.90,17.71
2015-06-30,22.36,$0.70,31.87
2015-03-31,23.02,$0.71,32.21
2014-12-31,19.18,$0.80,23.91
2014-09-30,18.69,$0.49,38.46
2014-06-30,17.82,$0.43,41.12
2014-03-31,15.72,$0.47,33.59
2013-12-31,17.72,$0.48,36.87
2013-09-30,14.52,$0.43,33.4
2013-06-30,10.49,$0.52,20.25
2013-03-31,9.78,$0.56,17.5
2012-12-31,8.54,$0.52,16.33
2012-09-30,7.77,$0.51,15.13
2012-06-30,7.09,$0.40,17.75
2012-03-31,9.45,$0.40,23.37
2011-12-31,7.97,$0.46,17.37
2011-09-30,6.02,$0.50,12.14
2011-06-30,7.85,$0.58,13.59
2011-03-31,6.24,$0.50,12.57
2010-12-31,6.48,$0.44,14.81
2010-09-30,5.89,$0.34,17.28
2010-06-30,3.85,$0.20,19.08
2010-03-31,4.04,$0.11,38.39
2009-12-31,3.86,$0.04,89.65
