Bridgford Foods Price to Free Cash Flow Ratio Historical Data,Bridgford Foods Price to Free Cash Flow Ratio Historical Data,Bridgford Foods Price to Free Cash Flow Ratio Historical Data,Bridgford Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.99,,0.0
2025-01-31,10.35,$-0.76,0.0
2024-10-31,8.94,$-0.48,0.0
2024-07-31,9.38,$0.49,19.32
2024-04-30,10.51,$0.06,164.75
2024-01-31,10.81,$0.20,52.76
2023-10-31,10.4,$0.18,58.66
2023-07-31,11.82,$-0.61,0.0
2023-04-30,12.9,$5.18,2.49
2023-01-31,12.31,$5.22,2.36
2022-10-31,11.92,$5.34,2.23
2022-07-31,12.64,$5.23,2.41
2022-04-30,12.62,$-0.65,0.0
2022-01-31,12.2,$-1.67,0.0
2021-10-31,11.73,$-1.29,0.0
2021-07-31,13.07,$-1.60,0.0
2021-04-30,14.24,$-0.77,0.0
2021-01-31,16.75,$-0.29,0.0
2020-10-31,18.25,$-1.60,0.0
2020-07-31,16.1,$-1.21,0.0
2020-04-30,18.22,$-1.71,0.0
2020-01-31,19.06,$-2.43,0.0
2019-10-31,24.67,$-2.03,0.0
2019-07-31,35.67,$-2.19,0.0
2019-04-30,28.71,$-2.24,0.0
2019-01-31,28.25,$-0.60,0.0
2018-10-31,16.77,$-0.42,0.0
2018-07-31,13.7,$0.31,44.64
2018-04-30,15.03,$0.05,319.79
2018-01-31,16.51,$-0.57,0.0
2017-10-31,12.8,$0.58,22.12
2017-07-31,11.16,$-0.17,0.0
2017-04-30,12.42,$0.37,33.41
2017-01-31,12.0,$-0.00,0.0
2016-10-31,11.4,$0.14,80.45
2016-07-31,13.64,$0.30,45.88
2016-04-30,12.23,$0.33,36.71
2016-01-31,8.71,$0.90,9.71
2015-10-31,9.1,$0.67,13.56
2015-07-31,8.77,$1.03,8.55
2015-04-30,8.29,$0.27,30.18
2015-01-31,7.51,$-0.67,0.0
2014-10-31,8.25,$-0.85,0.0
2014-07-31,7.77,$-0.55,0.0
2014-04-30,10.07,$-0.05,0.0
2014-01-31,9.55,$0.62,15.39
2013-10-31,10.09,$-0.06,0.0
2013-07-31,7.38,$-0.38,0.0
2013-04-30,7.58,$-0.22,0.0
2013-01-31,6.5,$-0.29,0.0
2012-10-31,6.9,$0.09,76.92
2012-07-31,7.74,$0.31,25.39
2012-04-30,9.64,$-0.02,0.0
2012-01-31,11.08,$-0.09,0.0
2011-10-31,9.58,$-0.44,0.0
2011-07-31,10.97,$-0.61,0.0
2011-04-30,10.17,$-0.55,0.0
2011-01-31,11.89,$-0.22,0.0
2010-10-31,12.1,$0.32,37.83
2010-07-31,14.34,$0.53,26.82
2010-04-30,12.62,$0.75,16.74
2010-01-31,9.7,$0.67,14.43
2009-10-31,8.13,$0.87,9.35
