United States Antimony Price to Free Cash Flow Ratio Historical Data,United States Antimony Price to Free Cash Flow Ratio Historical Data,United States Antimony Price to Free Cash Flow Ratio Historical Data,United States Antimony Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.79,,0.0
2024-09-30,0.76,$-0.03,0.0
2024-06-30,0.34,$-0.03,0.0
2024-03-31,0.25,$-0.04,0.0
2023-12-31,0.25,$-0.06,0.0
2023-09-30,0.37,$-0.03,0.0
2023-06-30,0.31,$-0.04,0.0
2023-03-31,0.38,$-0.03,0.0
2022-12-31,0.49,$-0.02,0.0
2022-09-30,0.37,$-0.01,0.0
2022-06-30,0.4,$-0.00,0.0
2022-03-31,0.65,$-0.00,0.0
2021-12-31,0.5,$-0.03,0.0
2021-09-30,0.91,$-0.04,0.0
2021-06-30,0.99,$-0.04,0.0
2021-03-31,1.21,$-0.05,0.0
2020-12-31,0.52,$-0.02,0.0
2020-09-30,0.29,$-0.01,0.0
2020-06-30,0.49,$-0.01,0.0
2020-03-31,0.33,$-0.01,0.0
2019-12-31,0.39,$-0.01,0.0
2019-09-30,0.56,$-0.02,0.0
2019-06-30,0.56,$-0.01,0.0
2019-03-31,0.47,$-0.00,0.0
2018-12-31,0.58,$0.00,0.0
2018-09-30,0.85,$0.01,66.16
2018-06-30,0.48,$0.00,0.0
2018-03-31,0.25,$0.01,0.0
2017-12-31,0.32,$0.01,0.0
2017-09-30,0.29,$0.00,0.0
2017-06-30,0.39,$0.00,0.0
2017-03-31,0.5,$-0.00,0.0
2016-12-31,0.25,$-0.00,0.0
2016-09-30,0.45,$-0.00,0.0
2016-06-30,0.21,$-0.01,0.0
2016-03-31,0.23,$-0.02,0.0
2015-12-31,0.29,$-0.02,0.0
2015-09-30,0.35,$-0.03,0.0
2015-06-30,0.68,$-0.05,0.0
2015-03-31,0.68,$-0.05,0.0
2014-12-31,0.7,$-0.04,0.0
2014-09-30,1.27,$-0.05,0.0
2014-06-30,1.42,$-0.03,0.0
2014-03-31,1.82,$-0.04,0.0
2013-12-31,1.97,$-0.04,0.0
2013-09-30,1.39,$-0.04,0.0
2013-06-30,1.11,$-0.05,0.0
2013-03-31,1.73,$-0.04,0.0
2012-12-31,1.76,$-0.04,0.0
2012-09-30,1.95,$-0.04,0.0
2012-06-30,4.04,$-0.02,0.0
2012-03-31,3.69,$-0.05,0.0
2011-12-31,2.4,$-0.03,0.0
2011-09-30,2.45,$-0.03,0.0
2011-06-30,3.8,$-0.03,0.0
2011-03-31,0.53,$-0.00,0.0
2010-12-31,0.6,$-0.01,0.0
2010-09-30,0.55,$-0.01,0.0
2010-06-30,0.45,$-0.02,0.0
2010-03-31,0.4,$-0.02,0.0
2009-12-31,0.52,$-0.02,0.0
