Lee Enterprises Price to Free Cash Flow Ratio Historical Data,Lee Enterprises Price to Free Cash Flow Ratio Historical Data,Lee Enterprises Price to Free Cash Flow Ratio Historical Data,Lee Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.99,,0.0
2024-12-31,14.78,$-0.05,0.0
2024-09-30,8.71,$0.90,9.65
2024-06-30,11.11,$0.66,16.85
2024-03-31,13.33,$0.51,25.95
2023-12-31,7.87,$0.88,8.9
2023-09-30,10.71,$0.62,17.15
2023-06-30,13.35,$0.36,37.43
2023-03-31,12.45,$0.80,15.64
2022-12-31,18.56,$-0.39,0.0
2022-09-30,17.6,$1.76,10.02
2022-06-30,18.99,$2.87,6.62
2022-03-31,26.92,$2.93,9.19
2021-12-31,34.54,$6.98,4.95
2021-09-30,22.64,$8.10,2.79
2021-06-30,28.3,$9.54,2.97
2021-03-31,25.69,$14.02,1.83
2020-12-31,12.6,$13.15,0.96
2020-09-30,8.39,$11.15,0.75
2020-06-30,9.8,$10.61,0.92
2020-03-31,9.83,$8.62,1.14
2019-12-31,14.2,$7.40,1.92
2019-09-30,20.4,$9.37,2.18
2019-06-30,22.4,$8.04,2.79
2019-03-31,33.0,$9.20,3.59
2018-12-31,21.1,$10.46,2.02
2018-09-30,26.5,$10.71,2.48
2018-06-30,28.5,$12.28,2.32
2018-03-31,19.5,$13.14,1.48
2017-12-31,23.5,$12.36,1.9
2017-09-30,22.0,$12.78,1.72
2017-06-30,19.0,$13.80,1.38
2017-03-31,26.0,$13.13,1.98
2016-12-31,29.0,$15.01,1.93
2016-09-30,37.5,$15.12,2.48
2016-06-30,19.1,$14.01,1.36
2016-03-31,18.0,$15.05,1.2
2015-12-31,16.8,$14.25,1.18
2015-09-30,20.8,$13.65,1.52
2015-06-30,33.3,$12.85,2.59
2015-03-31,31.7,$14.05,2.26
2014-12-31,36.8,$15.25,2.41
2014-09-30,33.8,$13.57,2.49
2014-06-30,44.5,$18.23,2.44
2014-03-31,44.7,$13.72,3.26
2013-12-31,34.7,$14.27,2.43
2013-09-30,26.4,$17.00,1.55
2013-06-30,20.4,$12.55,1.63
2013-03-31,12.7,$11.80,1.08
2012-12-31,11.4,$14.16,0.8
2012-09-30,14.8,$14.93,0.99
2012-06-30,16.2,$16.22,1.0
2012-03-31,12.8,$20.88,0.61
2011-12-31,7.0,$21.38,0.33
2011-09-30,7.8,$21.18,0.37
2011-06-30,8.9,$23.53,0.38
2011-03-31,27.0,$24.07,1.12
2010-12-31,24.6,$24.65,1.0
2010-09-30,26.8,$21.71,1.23
2010-06-30,25.7,$19.68,1.31
2010-03-31,33.9,$18.84,1.8
2009-12-31,34.7,$16.59,2.09
