White Mountains Insurance Group Price to Free Cash Flow Ratio Historical Data,White Mountains Insurance Group Price to Free Cash Flow Ratio Historical Data,White Mountains Insurance Group Price to Free Cash Flow Ratio Historical Data,White Mountains Insurance Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1873.79,,8.09
2024-12-31,1945.06,$231.75,8.39
2024-09-30,1696.2,$215.81,7.86
2024-06-30,1817.45,$197.89,9.18
2024-03-31,1794.3,$140.62,12.76
2023-12-31,1504.14,$159.91,9.41
2023-09-30,1494.82,$224.68,6.65
2023-06-30,1388.1,$177.65,7.81
2023-03-31,1376.69,$176.81,7.79
2022-12-31,1412.49,$129.16,10.94
2022-09-30,1301.32,$52.55,24.76
2022-06-30,1244.51,$21.72,57.29
2022-03-31,1134.76,$28.99,39.14
2021-12-31,1011.61,$12.68,79.75
2021-09-30,1067.19,$-8.59,0.0
2021-06-30,1145.44,$-2.45,0.0
2021-03-31,1112.38,$-30.90,0.0
2020-12-31,997.55,$-19.67,0.0
2020-09-30,776.58,$-11.30,0.0
2020-06-30,885.21,$-51.63,0.0
2020-03-31,907.17,$-44.29,0.0
2019-12-31,1110.72,$-38.36,0.0
2019-09-30,1075.36,$-22.82,0.0
2019-06-30,1017.07,$-1.24,0.0
2019-03-31,921.5,$-10.35,0.0
2018-12-31,853.08,$-9.31,0.0
2018-09-30,930.84,$-9.07,0.0
2018-06-30,901.73,$10.18,88.62
2018-03-31,818.1,$22.70,36.04
2017-12-31,845.67,$22.32,37.89
2017-09-30,851.35,$16.40,51.9
2017-06-30,862.9,$7.10,121.62
2017-03-31,874.08,$-30.41,0.0
2016-12-31,829.62,$-34.00,0.0
2016-09-30,823.62,$-17.51,0.0
2016-06-30,835.53,$-7.52,0.0
2016-03-31,796.43,$26.57,29.97
2015-12-31,720.31,$32.17,22.39
2015-09-30,740.62,$20.45,36.21
2015-06-30,649.09,$29.91,21.7
2015-03-31,678.4,$16.45,41.25
2014-12-31,623.55,$19.05,32.73
2014-09-30,623.51,$14.81,42.11
2014-06-30,602.1,$18.64,32.31
2014-03-31,593.65,$10.80,54.96
2013-12-31,595.76,$-18.25,0.0
2013-09-30,560.73,$-27.32,0.0
2013-06-30,567.97,$-35.01,0.0
2013-03-31,560.24,$-25.94,0.0
2012-12-31,507.85,$-34.00,0.0
2012-09-30,506.21,$-40.15,0.0
2012-06-30,514.51,$-41.13,0.0
2012-03-31,494.76,$-43.88,0.0
2011-12-31,446.27,$-15.36,0.0
2011-09-30,399.32,$13.70,29.14
2011-06-30,413.5,$-17.89,0.0
2011-03-31,358.43,$-2.12,0.0
2010-12-31,329.34,$6.08,54.16
2010-09-30,302.71,$-2.72,0.0
2010-06-30,318.16,$25.05,12.7
2010-03-31,348.38,$-10.41,0.0
2009-12-31,325.54,$-6.19,0.0
