American Vanguard Price to Free Cash Flow Ratio Historical Data,American Vanguard Price to Free Cash Flow Ratio Historical Data,American Vanguard Price to Free Cash Flow Ratio Historical Data,American Vanguard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.75,,2.66
2024-09-30,5.3,$1.78,2.97
2024-06-30,8.6,$-1.03,0.0
2024-03-31,12.91,$-2.59,0.0
2023-12-31,10.91,$-2.47,0.0
2023-09-30,10.84,$-2.22,0.0
2023-06-30,17.67,$-1.07,0.0
2023-03-31,21.6,$1.13,19.17
2022-12-31,21.41,$1.47,14.56
2022-09-30,18.41,$0.96,19.11
2022-06-30,21.98,$2.23,9.87
2022-03-31,19.96,$2.52,7.93
2021-12-31,16.08,$2.53,6.36
2021-09-30,14.74,$1.99,7.42
2021-06-30,17.13,$1.83,9.35
2021-03-31,19.95,$2.04,9.76
2020-12-31,15.15,$2.64,5.75
2020-09-30,12.81,$1.33,9.61
2020-06-30,13.42,$1.23,10.87
2020-03-31,14.1,$0.12,121.64
2019-12-31,18.95,$-0.11,0.0
2019-09-30,15.25,$-0.28,0.0
2019-06-30,14.97,$-1.23,0.0
2019-03-31,16.7,$-0.32,0.0
2018-12-31,14.71,$0.12,122.52
2018-09-30,17.39,$0.66,26.42
2018-06-30,22.18,$0.77,28.95
2018-03-31,19.5,$0.93,21.04
2017-12-31,18.95,$1.76,10.76
2017-09-30,22.06,$0.63,34.96
2017-06-30,16.62,$1.42,11.7
2017-03-31,15.98,$1.39,11.5
2016-12-31,18.41,$1.22,15.13
2016-09-30,15.42,$1.88,8.21
2016-06-30,14.51,$1.88,7.72
2016-03-31,15.14,$2.12,7.15
2015-12-31,13.44,$2.45,5.48
2015-09-30,11.09,$1.55,7.18
2015-06-30,13.24,$1.10,12.04
2015-03-31,10.19,$0.72,14.14
2014-12-31,11.13,$-1.43,0.0
2014-09-30,10.66,$-1.95,0.0
2014-06-30,12.53,$-2.29,0.0
2014-03-31,20.48,$-1.48,0.0
2013-12-31,22.98,$-0.74,0.0
2013-09-30,25.36,$0.68,37.35
2013-06-30,22.03,$0.38,58.63
2013-03-31,28.64,$0.48,59.3
2012-12-31,29.14,$0.79,36.76
2012-09-30,32.53,$1.21,26.98
2012-06-30,24.81,$2.01,12.36
2012-03-31,20.24,$1.12,18.01
2011-12-31,12.42,$1.18,10.49
2011-09-30,10.39,$0.73,14.22
2011-06-30,12.02,$0.77,15.57
2011-03-31,8.04,$1.09,7.37
2010-12-31,7.89,$0.91,8.66
2010-09-30,5.71,$1.09,5.22
2010-06-30,7.3,$1.69,4.32
2010-03-31,7.51,$1.64,4.59
2009-12-31,7.63,$1.02,7.49
