CalciMedica Price to Free Cash Flow Ratio Historical Data,CalciMedica Price to Free Cash Flow Ratio Historical Data,CalciMedica Price to Free Cash Flow Ratio Historical Data,CalciMedica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.1,,0.0
2024-09-30,4.43,$-3.29,0.0
2024-06-30,3.96,$-3.67,0.0
2024-03-31,4.16,$-6.22,0.0
