AIM ImmunoTech Price to Free Cash Flow Ratio Historical Data,AIM ImmunoTech Price to Free Cash Flow Ratio Historical Data,AIM ImmunoTech Price to Free Cash Flow Ratio Historical Data,AIM ImmunoTech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.13,,0.0
2024-09-30,0.27,$-0.39,0.0
2024-06-30,0.37,$-0.47,0.0
2024-03-31,0.47,$-0.46,0.0
2023-12-31,0.44,$-0.44,0.0
2023-09-30,0.46,$-0.29,0.0
2023-06-30,0.67,$-0.27,0.0
2023-03-31,0.43,$-0.27,0.0
2022-12-31,0.31,$-0.26,0.0
2022-09-30,0.58,$-0.33,0.0
2022-06-30,0.78,$-0.30,0.0
2022-03-31,1.06,$-0.28,0.0
2021-12-31,0.92,$-0.29,0.0
2021-09-30,2.02,$-0.30,0.0
2021-06-30,2.15,$-0.27,0.0
2021-03-31,2.27,$-0.21,0.0
2020-12-31,1.79,$-0.33,0.0
2020-09-30,2.15,$-0.07,0.0
2020-06-30,2.48,$-0.40,0.0
2020-03-31,2.56,$-1.42,0.0
2019-12-31,0.54,$-2.51,0.0
2019-09-30,0.76,$-5.50,0.0
2019-06-30,4.39,$-7.73,0.0
2019-03-31,7.04,$-9.06,0.0
2018-12-31,7.96,$-9.60,0.0
2018-09-30,10.12,$-8.42,0.0
2018-06-30,14.08,$-7.81,0.0
2018-03-31,17.38,$-8.83,0.0
2017-12-31,15.22,$-12.23,0.0
2017-09-30,14.19,$-14.79,0.0
2017-06-30,22.0,$-18.55,0.0
2017-03-31,23.98,$-18.21,0.0
2016-12-31,30.35,$-15.22,0.0
2016-09-30,55.44,$-19.67,0.0
2016-06-30,60.83,$-20.48,0.0
2016-03-31,70.28,$-28.05,0.0
2015-12-31,42.5,$-36.47,0.0
2015-09-30,90.02,$-39.78,0.0
2015-06-30,107.98,$-43.42,0.0
2015-03-31,120.38,$-42.42,0.0
2014-12-31,132.0,$-40.62,0.0
2014-09-30,169.44,$-39.40,0.0
2014-06-30,163.68,$-42.54,0.0
2014-03-31,211.2,$-45.79,0.0
2013-12-31,139.92,$-56.26,0.0
2013-09-30,124.13,$-66.13,0.0
2013-06-30,117.53,$-69.21,0.0
2013-03-31,100.32,$-77.64,0.0
2012-12-31,132.42,$-70.85,0.0
2012-09-30,422.4,$-65.72,0.0
2012-06-30,146.78,$-60.00,0.0
2012-03-31,205.92,$-51.74,0.0
2011-12-31,103.01,$-46.46,0.0
2011-09-30,163.68,$-39.20,0.0
2011-06-30,208.03,$-39.24,0.0
2011-03-31,242.88,$-40.16,0.0
2010-12-31,260.57,$-49.78,0.0
2010-09-30,297.0,$-60.21,0.0
2010-06-30,247.37,$-55.44,0.0
2010-03-31,390.72,$-53.90,0.0
2009-12-31,295.68,$-46.50,0.0
