LivePerson Price to Free Cash Flow Ratio Historical Data,LivePerson Price to Free Cash Flow Ratio Historical Data,LivePerson Price to Free Cash Flow Ratio Historical Data,LivePerson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.91,,0.0
2024-12-31,1.52,$-0.45,0.0
2024-09-30,1.28,$-0.39,0.0
2024-06-30,0.58,$-0.45,0.0
2024-03-31,1.0,$-0.53,0.0
2023-12-31,3.79,$-0.62,0.0
2023-09-30,3.89,$-0.61,0.0
2023-06-30,4.52,$-0.85,0.0
2023-03-31,4.41,$-1.21,0.0
2022-12-31,10.14,$-1.48,0.0
2022-09-30,9.42,$-2.11,0.0
2022-06-30,14.14,$-1.88,0.0
2022-03-31,24.42,$-1.30,0.0
2021-12-31,35.72,$-0.61,0.0
2021-09-30,58.95,$-0.17,0.0
2021-06-30,63.24,$0.16,400.25
2021-03-31,52.74,$0.19,271.72
2020-12-31,62.23,$-0.12,0.0
2020-09-30,51.99,$-0.46,0.0
2020-06-30,41.43,$-1.07,0.0
2020-03-31,22.75,$-1.25,0.0
2019-12-31,37.0,$-1.71,0.0
2019-09-30,35.7,$-1.12,0.0
2019-06-30,28.04,$-0.90,0.0
2019-03-31,29.02,$-0.75,0.0
2018-12-31,18.86,$-0.29,0.0
2018-09-30,25.95,$-0.32,0.0
2018-06-30,21.1,$-0.30,0.0
2018-03-31,16.35,$-0.11,0.0
2017-12-31,11.5,$-0.13,0.0
2017-09-30,13.55,$-0.07,0.0
2017-06-30,11.0,$0.04,252.87
2017-03-31,6.85,$0.16,43.94
2016-12-31,7.55,$0.22,34.65
2016-09-30,8.41,$0.29,28.98
2016-06-30,6.34,$0.45,14.23
2016-03-31,5.85,$0.28,20.83
2015-12-31,6.75,$0.16,43.05
2015-09-30,7.56,$-0.06,0.0
2015-06-30,9.81,$0.09,112.11
2015-03-31,10.24,$0.01,0.0
2014-12-31,14.1,$0.09,151.13
2014-09-30,12.59,$0.37,33.84
2014-06-30,10.15,$0.10,103.78
2014-03-31,12.07,$0.12,98.21
2013-12-31,14.82,$0.16,90.98
2013-09-30,9.43,$0.24,39.37
2013-06-30,8.96,$0.21,42.14
2013-03-31,13.58,$0.08,176.59
2012-12-31,13.14,$0.29,44.71
2012-09-30,18.11,$0.12,150.67
2012-06-30,19.06,$0.20,96.65
2012-03-31,16.77,$0.46,36.57
2011-12-31,12.55,$0.32,38.77
2011-09-30,9.95,$0.31,31.74
2011-06-30,14.14,$0.25,55.47
2011-03-31,12.64,$0.20,62.57
2010-12-31,11.3,$0.14,79.24
2010-09-30,8.4,$0.17,48.44
2010-06-30,6.86,$0.23,29.65
2010-03-31,7.67,$0.25,30.69
2009-12-31,6.97,$0.32,21.93
