Townsquare Media Price to Free Cash Flow Ratio Historical Data,Townsquare Media Price to Free Cash Flow Ratio Historical Data,Townsquare Media Price to Free Cash Flow Ratio Historical Data,Townsquare Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.86,,3.57
2024-09-30,9.97,$2.20,4.53
2024-06-30,10.57,$2.27,4.67
2024-03-31,10.42,$3.32,3.14
2023-12-31,10.02,$3.61,2.78
2023-09-30,8.13,$2.95,2.76
2023-06-30,10.87,$2.85,3.81
2023-03-31,7.19,$1.97,3.64
2022-12-31,6.37,$1.94,3.28
2022-09-30,6.38,$1.86,3.43
2022-06-30,7.19,$1.79,4.03
2022-03-31,11.23,$1.74,6.46
2021-12-31,11.71,$2.37,4.94
2021-09-30,11.48,$2.09,5.48
2021-06-30,11.2,$2.21,5.06
2021-03-31,9.42,$1.66,5.69
2020-12-31,5.85,$0.90,6.53
2020-09-30,4.09,$1.29,3.16
2020-06-30,3.93,$1.57,2.5
2020-03-31,4.05,$1.41,2.86
2019-12-31,8.76,$1.25,7.0
2019-09-30,6.17,$1.38,4.47
2019-06-30,4.68,$1.03,4.53
2019-03-31,4.84,$1.17,4.15
2018-12-31,3.45,$0.95,3.63
2018-09-30,6.5,$0.82,7.91
2018-06-30,5.32,$1.28,4.17
2018-03-31,6.45,$1.22,5.31
2017-12-31,6.19,$1.31,4.72
2017-09-30,8.06,$1.20,6.74
2017-06-30,8.25,$1.33,6.22
2017-03-31,9.82,$1.66,5.93
2016-12-31,8.39,$1.64,5.1
2016-09-30,7.53,$1.17,6.44
2016-06-30,6.36,$2.33,2.73
2016-03-31,9.04,$0.50,18.19
2015-12-31,9.64,$1.09,8.82
2015-09-30,7.88,$3.44,2.29
2015-06-30,10.95,$1.45,7.55
