Lifetime Brands Price to Free Cash Flow Ratio Historical Data,Lifetime Brands Price to Free Cash Flow Ratio Historical Data,Lifetime Brands Price to Free Cash Flow Ratio Historical Data,Lifetime Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.61,,7.37
2024-12-31,5.91,$0.76,7.77
2024-09-30,6.49,$1.66,3.91
2024-06-30,8.48,$2.13,3.98
2024-03-31,10.3,$2.45,4.21
2023-12-31,6.56,$2.53,2.59
2023-09-30,5.46,$2.73,2.0
2023-06-30,5.44,$2.80,1.95
2023-03-31,5.61,$0.95,5.92
2022-12-31,7.21,$0.99,7.28
2022-09-30,6.4,$-0.17,0.0
2022-06-30,10.39,$-0.79,0.0
2022-03-31,12.04,$0.45,26.76
2021-12-31,14.94,$1.50,9.97
2021-09-30,16.97,$0.46,36.78
2021-06-30,13.93,$0.74,18.83
2021-03-31,13.63,$2.12,6.43
2020-12-31,14.06,$2.05,6.86
2020-09-30,8.67,$5.57,1.56
2020-06-30,6.13,$3.96,1.55
2020-03-31,5.15,$1.79,2.89
2019-12-31,6.3,$1.01,6.27
2019-09-30,7.98,$0.01,578.08
2019-06-30,8.49,$1.19,7.12
2019-03-31,8.44,$0.77,11.02
2018-12-31,8.92,$0.59,15.06
2018-09-30,9.65,$0.64,15.07
2018-06-30,11.16,$0.76,14.68
2018-03-31,10.9,$0.94,11.64
2017-12-31,14.47,$0.72,20.21
2017-09-30,16.02,$2.35,6.8
2017-06-30,15.85,$2.79,5.68
2017-03-31,17.52,$2.89,6.06
2016-12-31,15.42,$1.82,8.49
2016-09-30,11.66,$1.78,6.55
2016-06-30,12.6,$0.88,14.31
2016-03-31,12.98,$1.57,8.27
2015-12-31,11.38,$2.90,3.93
2015-09-30,11.97,$0.69,17.24
2015-06-30,12.61,$1.20,10.5
2015-03-31,13.02,$0.55,23.6
2014-12-31,14.62,$-0.11,0.0
2014-09-30,12.98,$0.32,40.75
2014-06-30,13.3,$-0.28,0.0
2014-03-31,15.08,$0.57,26.53
2013-12-31,13.25,$2.45,5.41
2013-09-30,12.85,$2.50,5.14
2013-06-30,11.39,$2.98,3.83
2013-03-31,9.55,$3.03,3.15
2012-12-31,8.86,$1.39,6.39
2012-09-30,9.92,$2.12,4.69
2012-06-30,10.37,$1.31,7.89
2012-03-31,9.33,$1.19,7.84
2011-12-31,10.05,$0.58,17.35
2011-09-30,7.97,$0.73,10.91
2011-06-30,9.68,$1.04,9.31
2011-03-31,12.35,$1.44,8.58
2010-12-31,11.56,$2.21,5.24
2010-09-30,12.43,$2.58,4.82
2010-06-30,12.04,$3.30,3.65
2010-03-31,9.71,$4.83,2.01
2009-12-31,5.89,$5.14,1.15
