Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,180.68,,98.08
2024-12-31,187.51,$1.84,101.79
2024-09-30,205.2,$1.81,113.36
2024-06-30,192.01,$1.84,104.23
2024-03-31,170.74,$1.24,137.9
2023-12-31,165.73,$1.48,112.29
2023-09-30,153.18,$1.77,86.41
2023-06-30,172.23,$3.45,49.87
2023-03-31,176.64,$4.77,37.02
2022-12-31,155.78,$6.40,24.34
2022-09-30,144.82,$6.48,22.36
2022-06-30,142.85,$6.39,22.34
2022-03-31,169.42,$6.98,24.28
2021-12-31,172.9,$6.80,25.41
2021-09-30,175.26,$7.70,22.78
2021-06-30,174.39,$7.01,24.89
2021-03-31,170.42,$6.88,24.76
2020-12-31,147.1,$5.97,24.66
2020-09-30,127.09,$5.52,23.04
2020-06-30,112.22,$6.07,18.49
2020-03-31,87.61,$5.96,14.7
2019-12-31,111.66,$6.13,18.23
2019-09-30,111.63,$6.31,17.69
2019-06-30,98.54,$6.14,16.06
2019-03-31,91.08,$6.11,14.91
2018-12-31,80.53,$6.13,13.14
2018-09-30,90.68,$5.95,15.24
2018-06-30,92.67,$5.71,16.24
2018-03-31,86.81,$4.88,17.8
2017-12-31,86.78,$4.65,18.65
2017-09-30,74.0,$4.24,17.44
2017-06-30,63.12,$4.00,15.78
2017-03-31,65.69,$4.18,15.73
2016-12-31,59.12,$4.00,14.78
2016-09-30,56.45,$4.16,13.58
2016-06-30,50.12,$4.11,12.19
2016-03-31,45.64,$3.85,11.85
2015-12-31,43.24,$3.79,11.4
2015-09-30,38.82,$3.67,10.59
2015-06-30,40.11,$3.63,11.05
2015-03-31,44.25,$3.60,12.28
2014-12-31,41.11,$3.53,11.65
2014-09-30,36.42,$3.22,11.32
2014-06-30,36.26,$2.94,12.33
2014-03-31,35.55,$2.81,12.64
2013-12-31,32.87,$2.69,12.22
2013-09-30,29.94,$2.57,11.67
2013-06-30,25.71,$2.57,10.01
2013-03-31,25.97,$2.51,10.34
2012-12-31,22.47,$2.55,8.82
2012-09-30,19.89,$2.37,8.38
2012-06-30,20.59,$2.28,9.02
2012-03-31,23.99,$2.12,11.29
2011-12-31,20.67,$2.10,9.85
2011-09-30,18.82,$2.28,8.24
2011-06-30,23.09,$2.23,10.37
2011-03-31,24.21,$2.16,11.22
2010-12-31,22.69,$2.28,9.94
2010-09-30,18.86,$1.86,10.15
2010-06-30,16.1,$1.56,10.35
2010-03-31,16.85,$1.72,9.79
2009-12-31,17.85,$1.49,11.98
