Adagio Medical Holdings Price to Free Cash Flow Ratio Historical Data,Adagio Medical Holdings Price to Free Cash Flow Ratio Historical Data,Adagio Medical Holdings Price to Free Cash Flow Ratio Historical Data,Adagio Medical Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.87,,0.02
2024-09-30,2.58,$41.08,0.06
2024-06-30,11.47,$-0.02,0.0
2024-03-31,11.23,$-0.27,0.0
2023-12-31,10.9,$-0.19,0.0
2023-09-30,10.82,$-41.72,0.0
2023-06-30,10.52,$-0.20,0.0
2023-03-31,10.35,$-0.17,0.0
2022-12-31,10.1,$-0.13,0.0
2022-09-30,9.91,$-0.16,0.0
2022-06-30,9.81,$-0.19,0.0
2022-03-31,9.8,$-0.09,0.0
2021-12-31,9.92,$-0.29,0.0
