RPC Price to Free Cash Flow Ratio Historical Data,RPC Price to Free Cash Flow Ratio Historical Data,RPC Price to Free Cash Flow Ratio Historical Data,RPC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.48,,7.83
2024-12-31,5.94,$0.70,8.49
2024-09-30,6.32,$0.75,8.44
2024-06-30,6.17,$1.02,6.08
2024-03-31,7.6,$0.79,9.62
2023-12-31,7.1,$1.09,6.52
2023-09-30,8.68,$1.31,6.64
2023-06-30,6.91,$0.75,9.2
2023-03-31,7.39,$0.73,10.1
2022-12-31,8.5,$0.36,23.38
2022-09-30,6.61,$-0.16,0.0
2022-06-30,6.58,$-0.18,0.0
2022-03-31,10.15,$-0.04,0.0
2021-12-31,4.32,$0.00,0.0
2021-09-30,4.63,$-0.30,0.0
2021-06-30,4.71,$-0.11,0.0
2021-03-31,5.14,$0.01,375.12
2020-12-31,3.0,$0.16,18.27
2020-09-30,2.51,$0.46,5.51
2020-06-30,2.93,$0.46,6.32
2020-03-31,1.96,$-0.07,0.0
2019-12-31,4.99,$-0.13,0.0
2019-09-30,5.34,$-0.00,0.0
2019-06-30,6.86,$0.21,33.08
2019-03-31,10.8,$0.56,19.4
2018-12-31,9.26,$0.75,12.34
2018-09-30,14.35,$0.55,26.03
2018-06-30,13.41,$0.51,26.14
2018-03-31,16.51,$0.53,31.16
2017-12-31,23.25,$0.14,169.97
2017-09-30,22.45,$0.23,99.35
2017-06-30,18.25,$0.04,508.42
2017-03-31,16.54,$0.06,276.53
2016-12-31,17.89,$0.38,47.7
2016-09-30,15.13,$0.73,20.84
2016-06-30,13.98,$0.86,16.27
2016-03-31,12.77,$1.24,10.28
2015-12-31,10.76,$1.50,7.16
2015-09-30,7.97,$1.07,7.45
2015-06-30,12.45,$0.92,13.61
2015-03-31,11.5,$0.15,78.05
2014-12-31,11.61,$-0.14,0.0
2014-09-30,19.42,$0.03,691.19
2014-06-30,20.67,$0.32,65.61
2014-03-31,17.89,$0.81,21.98
2013-12-31,15.54,$0.81,19.24
2013-09-30,13.39,$0.92,14.55
2013-06-30,11.88,$1.11,10.66
2013-03-31,12.95,$1.03,12.55
2012-12-31,10.38,$1.15,8.99
2012-09-30,9.83,$0.79,12.37
2012-06-30,9.77,$0.55,17.93
2012-03-31,8.66,$0.28,30.85
2011-12-31,9.85,$-0.03,0.0
2011-09-30,8.76,$0.12,75.17
2011-06-30,13.13,$-0.08,0.0
2011-03-31,13.5,$0.07,185.46
2010-12-31,9.62,$-0.01,0.0
2010-09-30,7.47,$0.06,115.14
2010-06-30,4.8,$0.19,25.61
2010-03-31,3.9,$0.18,21.58
2009-12-31,3.64,$0.50,7.32
