Inuvo Price to Free Cash Flow Ratio Historical Data,Inuvo Price to Free Cash Flow Ratio Historical Data,Inuvo Price to Free Cash Flow Ratio Historical Data,Inuvo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.65,$-0.01,0.0
2024-09-30,0.25,$-0.03,0.0
2024-06-30,0.26,$-0.02,0.0
2024-03-31,0.34,$-0.02,0.0
2023-12-31,0.43,$-0.03,0.0
2023-09-30,0.21,$-0.04,0.0
2023-06-30,0.22,$-0.06,0.0
2023-03-31,0.29,$-0.06,0.0
2022-12-31,0.22,$-0.06,0.0
2022-09-30,0.41,$-0.04,0.0
2022-06-30,0.5,$-0.07,0.0
2022-03-31,0.49,$-0.07,0.0
2021-12-31,0.53,$-0.06,0.0
2021-09-30,0.7,$-0.08,0.0
2021-06-30,0.97,$-0.06,0.0
2021-03-31,1.02,$-0.12,0.0
2020-12-31,0.45,$-0.09,0.0
2020-09-30,0.37,$-0.11,0.0
2020-06-30,0.53,$-0.17,0.0
2020-03-31,0.24,$-0.11,0.0
2019-12-31,0.3,$-0.16,0.0
2019-09-30,0.27,$-0.18,0.0
2019-06-30,0.42,$-0.12,0.0
2019-03-31,1.24,$-0.17,0.0
2018-12-31,1.07,$-0.12,0.0
2018-09-30,0.62,$-0.00,0.0
2018-06-30,0.77,$-0.01,0.0
2018-03-31,0.92,$-0.02,0.0
2017-12-31,0.81,$-0.10,0.0
2017-09-30,1.0,$-0.13,0.0
2017-06-30,1.02,$-0.11,0.0
2017-03-31,1.29,$-0.08,0.0
2016-12-31,1.67,$-0.00,0.0
2016-09-30,1.27,$0.00,0.0
2016-06-30,1.4,$0.08,18.47
2016-03-31,1.77,$0.25,7.06
2015-12-31,2.7,$0.19,14.46
2015-09-30,2.9,$0.21,13.81
2015-06-30,3.06,$0.18,17.13
2015-03-31,2.08,$0.06,32.52
2014-12-31,1.3,$0.13,10.12
2014-09-30,1.5,$0.08,19.82
2014-06-30,0.89,$0.08,10.5
2014-03-31,0.76,$0.05,14.81
2013-12-31,1.31,$0.05,26.95
2013-09-30,1.19,$0.08,14.23
2013-06-30,0.8,$0.06,13.59
2013-03-31,0.65,$-0.04,0.0
2012-12-31,0.93,$0.00,0.0
2012-09-30,0.73,$-0.12,0.0
2012-06-30,0.68,$-0.12,0.0
2012-03-31,0.77,$-0.14,0.0
2011-12-31,0.71,$-0.10,0.0
2011-09-30,1.02,$0.17,5.94
2011-06-30,2.1,$0.36,5.87
2011-03-31,2.87,$0.41,7.04
2010-12-31,5.12,$0.32,16.17
2010-09-30,2.99,$0.14,21.06
2010-06-30,1.7,$-0.06,0.0
2010-03-31,2.9,$-0.38,0.0
2009-12-31,3.4,0,0.0
