FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data,FirstEnergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.81,,0.0
2024-12-31,39.78,$-1.97,0.0
2024-09-30,43.9,$-1.77,0.0
2024-06-30,37.5,$-1.73,0.0
2024-03-31,37.43,$-3.54,0.0
2023-12-31,35.13,$-3.43,0.0
2023-09-30,32.39,$-3.46,0.0
2023-06-30,36.45,$-3.30,0.0
2023-03-31,37.18,$-1.29,0.0
2022-12-31,38.55,$-0.29,0.0
2022-09-30,33.66,$-0.05,0.0
2022-06-30,34.58,$0.54,63.91
2022-03-31,40.93,$0.40,101.89
2021-12-31,36.77,$0.59,61.97
2021-09-30,31.18,$0.42,74.03
2021-06-30,32.24,$0.05,614.13
2021-03-31,29.75,$-0.24,0.0
2020-12-31,25.94,$-2.27,0.0
2020-09-30,24.01,$-2.12,0.0
2020-06-30,32.0,$-1.34,0.0
2020-03-31,32.75,$-1.15,0.0
2019-12-31,39.42,$-0.37,0.0
2019-09-30,38.8,$-0.11,0.0
2019-06-30,34.14,$-0.32,0.0
2019-03-31,32.89,$-0.06,0.0
2018-12-31,29.39,$-1.70,0.0
2018-09-30,28.82,$-0.34,0.0
2018-06-30,27.57,$0.60,46.27
2018-03-31,25.83,$0.16,160.06
2017-12-31,22.99,$3.62,6.34
2017-09-30,22.9,$2.35,9.73
2017-06-30,21.42,$1.88,11.39
2017-03-31,23.08,$1.88,12.29
2016-12-31,22.2,$1.32,16.8
2016-09-30,23.46,$2.16,10.85
2016-06-30,24.49,$2.96,8.29
2016-03-31,24.97,$2.84,8.79
2015-12-31,21.79,$1.83,11.9
2015-09-30,21.25,$1.01,20.96
2015-06-30,21.86,$0.22,97.55
2015-03-31,23.31,$-0.37,0.0
2014-12-31,25.69,$-0.49,0.0
2014-09-30,21.91,$-0.06,0.0
2014-06-30,22.4,$0.38,58.68
2014-03-31,21.73,$0.68,31.8
2013-12-31,20.81,$0.07,311.49
2013-09-30,22.66,$-0.53,0.0
2013-06-30,22.87,$-0.99,0.0
2013-03-31,25.54,$-0.45,0.0
2012-12-31,24.93,$-0.81,0.0
2012-09-30,25.99,$0.39,66.93
2012-06-30,28.67,$2.37,12.11
2012-03-31,26.26,$2.09,12.58
2011-12-31,25.2,$4.42,5.7
2011-09-30,25.24,$5.32,4.75
2011-06-30,24.51,$4.74,5.17
2011-03-31,20.32,$4.39,4.63
2010-12-31,20.0,$4.63,4.32
2010-09-30,20.5,$3.60,5.7
2010-06-30,18.47,$0.92,20.05
2010-03-31,20.19,$1.89,10.67
2009-12-31,23.68,$0.92,25.61
