American Rebel Holdings Price to Free Cash Flow Ratio Historical Data,American Rebel Holdings Price to Free Cash Flow Ratio Historical Data,American Rebel Holdings Price to Free Cash Flow Ratio Historical Data,American Rebel Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.17,,0.0
2024-09-30,7.2,$-2.67,0.0
2024-06-30,4.23,$24.24,0.17
2024-03-31,2.55,$18.81,0.14
2023-12-31,2.79,$-2.88,0.0
2023-09-30,6.29,$547.74,0.01
2023-06-30,24.48,$191.44,0.13
2023-03-31,31.97,$131.23,0.24
2022-12-31,43.42,$-53.94,0.0
