Intrusion Price to Free Cash Flow Ratio Historical Data,Intrusion Price to Free Cash Flow Ratio Historical Data,Intrusion Price to Free Cash Flow Ratio Historical Data,Intrusion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.29,,0.0
2024-12-31,3.08,$-1.52,0.0
2024-09-30,0.86,$-3.65,0.0
2024-06-30,1.1,$-4.97,0.0
2024-03-31,3.0,$-5.95,0.0
2023-12-31,0.25,$-7.60,0.0
2023-09-30,0.35,$-9.10,0.0
2023-06-30,1.22,$-10.70,0.0
2023-03-31,1.17,$-13.50,0.0
2022-12-31,3.16,$-14.82,0.0
2022-09-30,4.82,$-14.91,0.0
2022-06-30,3.91,$-19.06,0.0
2022-03-31,2.48,$-19.07,0.0
2021-12-31,3.44,$-19.59,0.0
2021-09-30,4.06,$-21.35,0.0
2021-06-30,15.41,$-15.60,0.0
2021-03-31,23.37,$-11.80,0.0
