California Water Service Group Price to Free Cash Flow Ratio Historical Data,California Water Service Group Price to Free Cash Flow Ratio Historical Data,California Water Service Group Price to Free Cash Flow Ratio Historical Data,California Water Service Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.21,,0.0
2024-12-31,45.33,$-3.07,0.0
2024-09-30,53.92,$-2.55,0.0
2024-06-30,47.97,$-2.10,0.0
2024-03-31,45.73,$-3.31,0.0
2023-12-31,50.73,$-2.96,0.0
2023-09-30,46.04,$-3.42,0.0
2023-06-30,49.99,$-3.02,0.0
2023-03-31,56.1,$-2.52,0.0
2022-12-31,58.21,$-1.69,0.0
2022-09-30,50.36,$-1.17,0.0
2022-06-30,52.88,$-0.93,0.0
2022-03-31,56.15,$-0.73,0.0
2021-12-31,67.78,$-1.19,0.0
2021-09-30,55.39,$-1.71,0.0
2021-06-30,52.02,$-2.74,0.0
2021-03-31,52.56,$-3.14,0.0
2020-12-31,50.2,$-3.67,0.0
2020-09-30,40.19,$-3.31,0.0
2020-06-30,43.93,$-2.87,0.0
2020-03-31,46.12,$-2.61,0.0
2019-12-31,47.08,$-2.18,0.0
2019-09-30,48.14,$-1.37,0.0
2019-06-30,45.88,$-1.80,0.0
2019-03-31,49.19,$-1.87,0.0
2018-12-31,43.02,$-1.93,0.0
2018-09-30,38.56,$-2.78,0.0
2018-06-30,34.85,$-2.54,0.0
2018-03-31,33.17,$-2.41,0.0
2017-12-31,40.19,$-2.31,0.0
2017-09-30,33.67,$-2.00,0.0
2017-06-30,32.32,$-1.76,0.0
2017-03-31,31.33,$-1.68,0.0
2016-12-31,29.47,$-1.42,0.0
2016-09-30,27.74,$-1.51,0.0
2016-06-30,30.03,$-1.26,0.0
2016-03-31,22.83,$-1.01,0.0
2015-12-31,19.74,$-0.66,0.0
2015-09-30,18.63,$-0.41,0.0
2015-06-30,19.09,$-0.36,0.0
2015-03-31,20.34,$0.05,445.03
2014-12-31,20.29,$-0.08,0.0
2014-09-30,18.38,$0.17,109.94
2014-06-30,19.68,$0.35,55.99
2014-03-31,19.32,$0.03,731.97
2013-12-31,18.48,$0.03,724.87
2013-09-30,16.16,$0.26,62.94
2013-06-30,15.41,$0.20,76.92
2013-03-31,15.58,$-0.06,0.0
2012-12-31,14.25,$0.10,138.26
2012-09-30,14.36,$-0.37,0.0
2012-06-30,14.09,$-0.78,0.0
2012-03-31,13.77,$-0.31,0.0
2011-12-31,13.69,$-0.17,0.0
2011-09-30,13.17,$-0.44,0.0
2011-06-30,13.8,$-0.61,0.0
2011-03-31,13.59,$-1.06,0.0
2010-12-31,13.51,$-1.16,0.0
2010-09-30,13.29,$-1.22,0.0
2010-06-30,12.73,$-1.04,0.0
2010-03-31,13.3,$-0.69,0.0
2009-12-31,12.92,$-0.90,0.0
