Wayfair Price to Free Cash Flow Ratio Historical Data,Wayfair Price to Free Cash Flow Ratio Historical Data,Wayfair Price to Free Cash Flow Ratio Historical Data,Wayfair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.55,,15.9
2024-12-31,44.32,$1.98,22.34
2024-09-30,56.18,$1.82,30.93
2024-06-30,52.73,$2.35,22.48
2024-03-31,67.88,$2.14,31.69
2023-12-31,61.7,$1.76,34.99
2023-09-30,60.57,$1.23,49.3
2023-06-30,65.01,$-3.99,0.0
2023-03-31,34.34,$-7.23,0.0
2022-12-31,32.89,$-8.11,0.0
2022-09-30,32.55,$-7.93,0.0
2022-06-30,43.56,$-4.47,0.0
2022-03-31,110.78,$-0.99,0.0
2021-12-31,189.97,$2.97,63.94
2021-09-30,255.51,$5.03,50.8
2021-06-30,315.71,$9.28,34.01
2021-03-31,314.75,$17.23,18.27
2020-12-31,225.81,$12.43,18.16
2020-09-30,291.01,$8.37,34.79
2020-06-30,197.61,$3.53,55.99
2020-03-31,53.44,$-6.90,0.0
2019-12-31,90.37,$-5.10,0.0
2019-09-30,112.12,$-3.79,0.0
2019-06-30,146.0,$-2.71,0.0
2019-03-31,148.45,$-2.00,0.0
2018-12-31,90.08,$-0.83,0.0
2018-09-30,147.67,$-0.61,0.0
2018-06-30,118.76,$-0.22,0.0
2018-03-31,67.53,$-0.48,0.0
2017-12-31,80.27,$-0.77,0.0
2017-09-30,67.4,$-0.23,0.0
2017-06-30,76.88,$-0.21,0.0
2017-03-31,40.49,$-0.18,0.0
2016-12-31,35.05,$-0.40,0.0
2016-09-30,39.37,$-0.10,0.0
2016-06-30,39.0,$0.43,91.12
2016-03-31,43.22,$0.76,56.96
2015-12-31,47.62,$1.08,44.07
2015-09-30,35.06,$-0.45,0.0
