Viatris Price to Free Cash Flow Ratio Historical Data,Viatris Price to Free Cash Flow Ratio Historical Data,Viatris Price to Free Cash Flow Ratio Historical Data,Viatris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.44,,5.69
2024-12-31,12.45,$1.66,7.5
2024-09-30,11.61,$3.75,3.1
2024-06-30,10.63,$2.26,4.71
2024-03-31,11.94,$2.00,5.96
2023-12-31,10.83,$2.10,5.15
2023-09-30,9.86,$1.84,5.37
2023-06-30,9.98,$1.82,5.5
2023-03-31,9.62,$2.02,4.77
2022-12-31,11.13,$2.14,5.2
2022-09-30,8.52,$2.39,3.57
2022-06-30,10.35,$2.55,4.05
2022-03-31,10.64,$2.35,4.53
2021-12-31,13.13,$2.13,6.15
2021-09-30,13.04,$1.43,9.09
2021-06-30,13.65,$1.58,8.63
2021-03-31,13.24,$1.84,7.2
2020-12-31,17.77,$1.65,10.78
2020-09-30,14.06,$3.26,4.31
2020-06-30,15.25,$3.23,4.72
2020-03-31,14.14,$3.79,3.73
2019-12-31,19.06,$3.13,6.08
2019-09-30,18.75,$3.01,6.24
2019-06-30,18.05,$3.24,5.57
2019-03-31,26.87,$2.78,9.67
2018-12-31,25.98,$4.10,6.33
2018-09-30,34.7,$3.84,9.03
2018-06-30,34.26,$3.63,9.44
2018-03-31,39.03,$3.85,10.15
2017-12-31,40.11,$3.49,11.48
2017-09-30,29.74,$3.09,9.63
2017-06-30,36.81,$4.20,8.76
2017-03-31,36.97,$3.92,9.43
2016-12-31,36.17,$3.18,11.36
2016-09-30,36.14,$3.86,9.37
2016-06-30,41.0,$3.55,11.55
2016-03-31,43.94,$2.87,15.3
2015-12-31,51.26,$3.31,15.5
2015-09-30,38.18,$2.27,16.86
2015-06-30,64.34,$1.48,43.56
2015-03-31,56.27,$1.73,32.49
2014-12-31,53.44,$1.73,30.85
2014-09-30,43.13,$2.59,16.68
2014-06-30,48.88,$2.39,20.45
2014-03-31,46.3,$2.43,19.07
2013-12-31,41.15,$2.02,20.36
2013-09-30,36.19,$1.46,24.8
2013-06-30,29.42,$1.73,17.04
2013-03-31,27.45,$1.99,13.81
2012-12-31,26.03,$1.57,16.57
2012-09-30,23.11,$1.65,14.0
2012-06-30,20.26,$1.16,17.46
2012-03-31,22.23,$0.87,25.63
2011-12-31,20.35,$1.00,20.26
2011-09-30,16.11,$1.39,11.6
2011-06-30,23.39,$1.36,17.21
2011-03-31,21.48,$1.36,15.8
2010-12-31,20.03,$2.26,8.86
2010-09-30,17.83,$1.42,12.52
2010-06-30,16.16,$1.52,10.65
2010-03-31,21.53,$1.97,10.94
2009-12-31,17.47,$1.47,11.9
