Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data,Procter & Gamble Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,167.55,,26.07
2024-12-31,167.65,$6.43,26.09
2024-09-30,172.19,$6.58,26.18
2024-06-30,162.98,$6.82,23.88
2024-03-31,159.32,$6.56,24.29
2023-12-31,142.99,$6.48,22.07
2023-09-30,141.43,$5.91,23.95
2023-06-30,146.21,$5.57,26.26
2023-03-31,142.39,$4.89,29.09
2022-12-31,144.21,$4.63,31.18
2022-09-30,119.27,$5.24,22.77
2022-06-30,134.97,$5.39,25.06
2022-03-31,142.62,$5.50,25.94
2021-12-31,151.87,$5.85,25.96
2021-09-30,128.98,$5.94,21.72
2021-06-30,123.71,$6.01,20.59
2021-03-31,123.37,$6.28,19.65
2020-12-31,125.99,$6.22,20.26
2020-09-30,125.16,$5.79,21.62
2020-06-30,107.0,$5.47,19.57
2020-03-31,97.79,$5.49,17.8
2019-12-31,110.37,$5.23,21.09
2019-09-30,109.22,$5.05,21.61
2019-06-30,95.66,$4.84,19.77
2019-03-31,90.14,$4.49,20.09
2018-12-31,79.01,$4.41,17.92
2018-09-30,70.91,$4.28,16.57
2018-06-30,65.9,$4.30,15.33
2018-03-31,66.3,$4.01,16.52
2017-12-31,76.25,$3.95,19.3
2017-09-30,74.94,$3.71,20.22
2017-06-30,71.23,$3.63,19.64
2017-03-31,72.87,$3.78,19.28
2016-12-31,67.66,$3.79,17.83
2016-09-30,71.66,$4.25,16.88
2016-06-30,67.08,$4.41,15.2
2016-03-31,64.68,$4.53,14.27
2015-12-31,61.86,$4.59,13.46
2015-09-30,55.54,$4.40,12.62
2015-06-30,59.92,$5.34,11.22
2015-03-31,62.24,$5.41,11.5
2014-12-31,68.7,$5.55,12.37
2014-09-30,62.68,$5.23,11.99
2014-06-30,58.36,$3.68,15.86
2014-03-31,59.38,$3.35,17.74
2013-12-31,59.52,$3.26,18.25
2013-09-30,54.85,$3.66,15.0
2013-06-30,55.45,$3.90,14.22
2013-03-31,55.07,$4.73,11.64
2012-12-31,48.12,$4.72,10.2
2012-09-30,48.77,$4.39,11.11
2012-06-30,42.7,$4.15,10.28
2012-03-31,46.46,$3.28,14.15
2011-12-31,45.75,$3.37,13.56
2011-09-30,42.98,$3.23,13.33
2011-06-30,42.9,$3.41,12.56
2011-03-31,41.23,$3.24,12.71
2010-12-31,42.74,$3.50,12.2
2010-09-30,39.55,$4.49,8.8
2010-06-30,39.24,$5.21,7.54
2010-03-31,41.08,$5.65,7.27
2009-12-31,39.08,$7.13,5.48
