American Outdoor Brands Price to Free Cash Flow Ratio Historical Data,American Outdoor Brands Price to Free Cash Flow Ratio Historical Data,American Outdoor Brands Price to Free Cash Flow Ratio Historical Data,American Outdoor Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.55,,44.88
2025-01-31,17.18,$0.30,56.91
2024-10-31,8.52,$0.84,10.19
2024-07-31,9.32,$0.78,11.97
2024-04-30,7.82,$1.53,5.11
2024-01-31,8.56,$1.15,7.43
2023-10-31,8.88,$1.52,5.85
2023-07-31,9.5,$2.19,4.34
2023-04-30,8.94,$2.20,4.06
2023-01-31,10.48,$2.24,4.69
2022-10-31,8.92,$0.74,12.03
2022-07-31,7.9,$-0.91,0.0
2022-04-30,12.6,$-1.53,0.0
2022-01-31,16.58,$-0.97,0.0
2021-10-31,22.78,$0.01,1571.03
2021-07-31,26.98,$1.83,14.75
