Evolution Petroleum Price to Free Cash Flow Ratio Historical Data,Evolution Petroleum Price to Free Cash Flow Ratio Historical Data,Evolution Petroleum Price to Free Cash Flow Ratio Historical Data,Evolution Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.05,,0.0
2024-12-31,5.23,$-0.64,0.0
2024-09-30,5.2,$-0.75,0.0
2024-06-30,5.05,$-0.82,0.0
2024-03-31,5.75,$-1.24,0.0
2023-12-31,5.33,$0.76,6.99
2023-09-30,6.15,$0.95,6.51
2023-06-30,7.13,$1.33,5.34
2023-03-31,5.49,$1.30,4.23
2022-12-31,6.44,$0.27,23.87
2022-09-30,5.84,$0.24,24.8
2022-06-30,4.51,$-0.07,0.0
2022-03-31,5.53,$-0.44,0.0
2021-12-31,4.05,$-0.06,0.0
2021-09-30,4.48,$-0.30,0.0
2021-06-30,3.85,$-0.43,0.0
2021-03-31,2.6,$0.07,39.4
2020-12-31,2.18,$0.14,15.56
2020-09-30,1.69,$-0.07,0.0
2020-06-30,2.1,$0.04,51.9
2020-03-31,1.94,$0.21,9.32
2019-12-31,3.94,$0.18,21.97
2019-09-30,4.13,$0.52,7.95
2019-06-30,4.98,$0.52,9.55
2019-03-31,4.63,$0.48,9.63
2018-12-31,4.61,$0.54,8.57
2018-09-30,7.37,$0.53,13.81
2018-06-30,6.51,$0.51,12.82
2018-03-31,5.26,$0.54,9.74
2017-12-31,4.42,$0.50,8.86
2017-09-30,4.6,$0.40,11.39
2017-06-30,5.12,$0.19,26.89
2017-03-31,5.01,$0.52,9.58
2016-12-31,6.21,$0.35,17.65
2016-09-30,3.87,$0.32,12.06
2016-06-30,3.34,$0.29,11.5
2016-03-31,2.94,$-0.16,0.0
2015-12-31,2.88,$-0.10,0.0
2015-09-30,3.29,$0.02,145.79
2015-06-30,3.88,$0.17,22.91
2015-03-31,3.48,$0.19,17.86
2014-12-31,4.31,$0.28,15.14
2014-09-30,5.25,$0.21,25.36
2014-06-30,6.2,$0.22,27.6
2014-03-31,7.14,$0.25,29.14
2013-12-31,6.87,$0.29,24.01
2013-09-30,6.21,$0.39,15.87
2013-06-30,6.02,$0.33,18.35
2013-03-31,5.6,$0.22,25.16
2012-12-31,4.49,$0.17,27.14
2012-09-30,4.46,$0.05,88.48
2012-06-30,4.6,$0.13,35.9
2012-03-31,5.13,$0.18,27.91
2011-12-31,4.44,$0.15,30.33
2011-09-30,3.9,$0.07,58.95
2011-06-30,3.92,$-0.01,0.0
2011-03-31,4.3,$-0.07,0.0
2010-12-31,3.6,$-0.05,0.0
2010-09-30,3.32,$-0.05,0.0
2010-06-30,2.77,$-0.05,0.0
2010-03-31,2.56,$-0.06,0.0
2009-12-31,2.41,$-0.25,0.0
