Foxx Development Holdings Price to Free Cash Flow Ratio Historical Data,Foxx Development Holdings Price to Free Cash Flow Ratio Historical Data,Foxx Development Holdings Price to Free Cash Flow Ratio Historical Data,Foxx Development Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.76,,0.0
2024-12-31,5.71,$-0.25,0.0
2024-09-30,11.35,$-0.23,0.0
2024-06-30,11.39,$-0.57,0.0
2024-03-31,11.21,$-0.25,0.0
2023-12-31,11.06,$-1.24,0.0
2023-09-30,10.92,$-0.43,0.0
2023-06-30,10.83,$-0.29,0.0
