Nutriband Price to Free Cash Flow Ratio Historical Data,Nutriband Price to Free Cash Flow Ratio Historical Data,Nutriband Price to Free Cash Flow Ratio Historical Data,Nutriband Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.72,,0.0
2024-10-31,6.19,$-0.40,0.0
2024-07-31,6.01,$-0.45,0.0
2024-04-30,3.46,$-0.45,0.0
2024-01-31,2.61,$-0.45,0.0
2023-10-31,2.25,$-0.43,0.0
2023-07-31,3.9,$-0.38,0.0
2023-04-30,3.33,$-0.37,0.0
2023-01-31,3.65,$-0.36,0.0
2022-10-31,4.28,$-0.44,0.0
2022-07-31,4.39,$-0.57,0.0
