PHINIA Price to Free Cash Flow Ratio Historical Data,PHINIA Price to Free Cash Flow Ratio Historical Data,PHINIA Price to Free Cash Flow Ratio Historical Data,PHINIA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.17,,9.65
2024-12-31,48.17,$4.58,10.53
2024-09-30,46.03,$4.06,11.33
2024-06-30,39.36,$3.94,9.98
