Williams-Sonoma Price to Free Cash Flow Ratio Historical Data,Williams-Sonoma Price to Free Cash Flow Ratio Historical Data,Williams-Sonoma Price to Free Cash Flow Ratio Historical Data,Williams-Sonoma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,164.99,,17.9
2024-10-31,134.13,$9.22,14.55
2024-07-31,154.07,$9.71,15.87
2024-04-30,142.27,$10.67,13.34
2024-01-31,95.56,$11.43,8.36
2023-10-31,73.91,$9.16,8.07
2023-07-31,67.82,$8.18,8.3
2023-04-30,58.8,$6.47,9.09
2023-01-31,65.08,$5.06,12.87
2022-10-31,59.33,$5.85,10.14
2022-07-31,68.73,$6.60,10.41
2022-04-30,61.75,$7.02,8.79
2022-01-31,75.56,$7.50,10.08
2021-10-31,86.98,$7.46,11.66
2021-07-31,70.77,$8.70,8.13
2021-04-30,79.36,$8.17,9.71
2021-01-31,59.71,$6.99,8.54
2020-10-31,42.07,$6.65,6.33
2020-07-31,39.96,$4.20,9.53
2020-04-30,28.21,$3.57,7.9
2020-01-31,31.69,$2.66,11.93
2019-10-31,30.01,$1.89,15.85
2019-07-31,29.75,$1.51,19.71
2019-04-30,25.33,$1.70,14.88
2019-01-31,23.91,$2.40,9.95
2018-10-31,25.87,$2.25,11.51
2018-07-31,25.29,$2.32,10.92
2018-04-30,20.53,$2.11,9.73
2018-01-31,21.81,$1.80,12.11
2017-10-31,21.81,$1.72,12.67
2017-07-31,19.48,$1.80,10.8
2017-04-30,22.48,$1.94,11.6
2017-01-31,19.91,$1.83,10.88
2016-10-31,18.94,$2.06,9.2
2016-07-31,21.99,$1.87,11.73
2016-04-30,23.74,$1.87,12.69
2016-01-31,20.74,$1.85,11.2
2015-10-31,29.41,$1.17,25.2
2015-07-31,33.6,$1.46,22.99
2015-04-30,29.06,$1.34,21.68
2015-01-31,30.78,$1.35,22.82
2014-10-31,25.47,$1.25,20.45
2014-07-31,26.14,$1.10,23.7
2014-04-30,24.37,$1.29,18.93
2014-01-31,21.04,$1.32,16.0
2013-10-31,20.12,$1.07,18.77
2013-07-31,22.45,$0.77,29.23
2013-04-30,20.37,$0.48,42.03
2013-01-31,16.6,$0.79,21.13
2012-10-31,17.35,$0.98,17.73
2012-07-31,12.98,$1.12,11.6
2012-04-30,14.36,$1.05,13.72
2012-01-31,13.23,$0.76,17.52
2011-10-31,13.76,$0.87,15.85
2011-07-31,13.51,$1.01,13.4
2011-04-30,15.77,$1.26,12.49
2011-01-31,11.65,$1.39,8.37
2010-10-31,11.66,$1.45,8.04
2010-07-31,9.58,$1.62,5.91
2010-04-30,10.27,$1.75,5.88
2010-01-31,6.74,$1.95,3.45
2009-10-31,6.63,$0.93,7.09
