Allete Price to Free Cash Flow Ratio Historical Data,Allete Price to Free Cash Flow Ratio Historical Data,Allete Price to Free Cash Flow Ratio Historical Data,Allete Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,65.73,,37.17
2024-12-31,64.8,$1.77,36.65
2024-09-30,63.49,$2.00,31.8
2024-06-30,61.0,$2.53,24.11
2024-03-31,57.7,$5.07,11.38
2023-12-31,58.45,$5.47,10.68
2023-09-30,49.86,$7.12,7.0
2023-06-30,54.08,$5.44,9.94
2023-03-31,59.4,$1.58,37.65
2022-12-31,58.85,$0.01,4115.65
2022-09-30,45.19,$-2.04,0.0
2022-06-30,52.53,$-2.28,0.0
2022-03-31,59.23,$-4.41,0.0
2021-12-31,58.05,$-4.11,0.0
2021-09-30,51.57,$-5.77,0.0
2021-06-30,60.1,$-6.45,0.0
2021-03-31,57.19,$-7.79,0.0
2020-12-31,52.22,$-8.19,0.0
2020-09-30,43.14,$-7.79,0.0
2020-06-30,45.05,$-9.38,0.0
2020-03-31,49.45,$-7.85,0.0
2019-12-31,65.64,$-6.77,0.0
2019-09-30,70.18,$-4.30,0.0
2019-06-30,66.81,$-1.60,0.0
2019-03-31,65.55,$1.47,44.73
2018-12-31,60.3,$2.31,26.12
2018-09-30,58.92,$2.24,26.32
2018-06-30,60.37,$2.97,20.29
2018-03-31,55.94,$3.23,17.33
2017-12-31,57.1,$3.81,14.98
2017-09-30,58.95,$2.46,23.95
2017-06-30,54.27,$1.98,27.48
2017-03-31,50.88,$1.60,31.84
2016-12-31,47.84,$1.40,34.17
2016-09-30,44.04,$2.55,17.28
2016-06-30,47.34,$1.70,27.89
2016-03-31,40.7,$2.49,16.34
2015-12-31,36.53,$1.11,32.93
2015-09-30,35.93,$-0.11,0.0
2015-06-30,32.69,$-1.26,0.0
2015-03-31,36.79,$-3.98,0.0
2014-12-31,38.1,$-7.03,0.0
2014-09-30,30.38,$-8.01,0.0
2014-06-30,34.78,$-6.70,0.0
2014-03-31,35.16,$-5.31,0.0
2013-12-31,33.12,$-2.21,0.0
2013-09-30,31.77,$-0.97,0.0
2013-06-30,32.49,$-2.33,0.0
2013-03-31,31.65,$-5.11,0.0
2012-12-31,26.19,$-4.42,0.0
2012-09-30,26.37,$-4.39,0.0
2012-06-30,26.11,$-3.57,0.0
2012-03-31,25.62,$-0.08,0.0
2011-12-31,25.64,$0.07,363.14
2011-09-30,22.11,$-0.18,0.0
2011-06-30,24.49,$-0.30,0.0
2011-03-31,23.0,$-0.30,0.0
2010-12-31,21.73,$-0.59,0.0
2010-09-30,20.99,$-2.33,0.0
2010-06-30,19.49,$-2.58,0.0
2010-03-31,18.83,$-4.07,0.0
2009-12-31,18.13,$-5.61,0.0
