Exponent Price to Free Cash Flow Ratio Historical Data,Exponent Price to Free Cash Flow Ratio Historical Data,Exponent Price to Free Cash Flow Ratio Historical Data,Exponent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.22,,30.07
2024-12-31,89.1,$2.67,33.39
2024-09-30,114.94,$2.97,38.65
2024-06-30,94.58,$2.80,33.78
2024-03-31,81.98,$2.56,31.98
2023-12-31,86.98,$2.15,40.46
2023-09-30,84.31,$1.52,55.41
2023-06-30,91.64,$1.66,55.14
2023-03-31,97.63,$1.49,65.37
2022-12-31,96.8,$1.56,61.89
2022-09-30,85.45,$1.84,46.48
2022-06-30,88.92,$1.78,50.06
2022-03-31,104.75,$2.06,50.8
2021-12-31,112.89,$2.21,51.13
2021-09-30,109.24,$1.97,55.55
2021-06-30,85.98,$2.02,42.56
2021-03-31,93.71,$2.10,44.56
2020-12-31,86.4,$1.84,46.85
2020-09-30,68.97,$2.02,34.13
2020-06-30,77.3,$1.95,39.71
2020-03-31,68.51,$1.63,42.05
2019-12-31,65.55,$1.58,41.54
2019-09-30,66.24,$1.40,47.4
2019-06-30,55.35,$1.26,43.88
2019-03-31,54.42,$1.11,49.15
2018-12-31,47.68,$1.38,34.48
2018-09-30,50.26,$1.37,36.69
2018-06-30,45.18,$1.25,36.22
2018-03-31,36.74,$1.17,31.43
2017-12-31,33.1,$1.17,28.3
2017-09-30,34.31,$0.96,35.72
2017-06-30,26.98,$1.03,26.08
2017-03-31,27.46,$0.93,29.48
2016-12-31,27.71,$0.97,28.64
2016-09-30,23.39,$0.90,25.86
2016-06-30,26.66,$0.97,27.36
2016-03-31,23.21,$0.97,23.97
2015-12-31,22.64,$1.01,22.43
2015-09-30,20.14,$0.93,21.63
2015-06-30,20.17,$0.86,23.34
2015-03-31,19.95,$0.93,21.49
2014-12-31,18.45,$0.78,23.58
2014-09-30,15.8,$0.87,18.18
2014-06-30,16.47,$0.92,17.87
2014-03-31,16.62,$0.99,16.77
2013-12-31,17.05,$0.99,17.22
2013-09-30,15.82,$0.96,16.42
2013-06-30,12.99,$0.68,19.01
2013-03-31,11.82,$0.68,17.33
2012-12-31,12.2,$0.76,16.01
2012-09-30,12.48,$0.65,19.07
2012-06-30,11.54,$0.84,13.81
2012-03-31,10.6,$0.79,13.43
2011-12-31,10.05,$0.72,13.86
2011-09-30,9.03,$0.60,15.12
2011-06-30,9.51,$0.66,14.31
2011-03-31,9.75,$0.43,22.48
2010-12-31,8.2,$0.56,14.73
2010-09-30,7.34,$0.68,10.8
2010-06-30,7.15,$0.53,13.42
2010-03-31,6.23,$0.54,11.58
2009-12-31,6.08,$0.41,14.75
