Amesite Price to Free Cash Flow Ratio Historical Data,Amesite Price to Free Cash Flow Ratio Historical Data,Amesite Price to Free Cash Flow Ratio Historical Data,Amesite Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.5,,0.0
2024-12-31,4.75,$-1.14,0.0
2024-09-30,2.45,$-1.21,0.0
2024-06-30,3.0,$-1.25,0.0
2024-03-31,2.23,$-1.28,0.0
2023-12-31,2.25,$-1.35,0.0
2023-09-30,2.55,$-1.36,0.0
2023-06-30,3.61,$-1.48,0.0
2023-03-31,2.61,$-2.11,0.0
2022-12-31,0.18,$-2.27,0.0
2022-09-30,0.24,$-3.41,0.0
2022-06-30,0.46,$-3.83,0.0
2022-03-31,0.57,$-3.88,0.0
2021-12-31,1.03,$-4.28,0.0
2021-09-30,1.81,$-4.24,0.0
2021-06-30,2.75,$-3.80,0.0
