CECO Environmental Price to Free Cash Flow Ratio Historical Data,CECO Environmental Price to Free Cash Flow Ratio Historical Data,CECO Environmental Price to Free Cash Flow Ratio Historical Data,CECO Environmental Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.9,,116.47
2024-12-31,30.23,$0.21,147.32
2024-09-30,28.2,$0.67,42.13
2024-06-30,28.85,$1.17,24.59
2024-03-31,23.02,$1.39,16.6
2023-12-31,20.28,$1.03,19.76
2023-09-30,15.97,$0.93,17.11
2023-06-30,13.36,$0.13,103.17
2023-03-31,13.99,$0.36,38.58
2022-12-31,11.68,$0.75,15.55
2022-09-30,8.85,$0.56,15.87
2022-06-30,5.98,$0.71,8.47
2022-03-31,5.49,$0.01,435.71
2021-12-31,6.23,$0.32,19.77
2021-09-30,7.04,$0.09,77.19
2021-06-30,7.16,$0.13,55.55
2021-03-31,7.93,$0.14,57.34
2020-12-31,6.96,$0.03,228.95
2020-09-30,7.29,$0.45,16.37
2020-06-30,6.59,$0.50,13.24
2020-03-31,4.67,$0.71,6.54
2019-12-31,7.66,$0.14,53.49
2019-09-30,6.99,$0.38,18.17
2019-06-30,9.59,$0.10,92.57
2019-03-31,7.2,$0.24,29.93
2018-12-31,6.75,$0.72,9.31
2018-09-30,7.88,$0.45,17.62
2018-06-30,6.14,$0.41,14.96
2018-03-31,4.45,$0.13,33.71
2017-12-31,5.13,$0.17,29.9
2017-09-30,8.46,$0.47,18.1
2017-06-30,9.09,$0.78,11.59
2017-03-31,10.33,$1.88,5.49
2016-12-31,13.61,$2.04,6.69
2016-09-30,10.95,$2.29,4.78
2016-06-30,8.43,$1.66,5.07
2016-03-31,5.95,$0.75,7.98
2015-12-31,7.27,$0.52,13.89
2015-09-30,7.68,$0.18,41.55
2015-06-30,10.55,$0.75,14.0
2015-03-31,9.82,$0.78,12.59
2014-12-31,14.3,$0.93,15.45
2014-09-30,12.28,$1.11,11.02
2014-06-30,14.23,$1.00,14.3
2014-03-31,15.09,$0.86,17.57
2013-12-31,14.65,$1.11,13.18
2013-09-30,12.73,$0.69,18.54
2013-06-30,11.08,$0.92,12.02
2013-03-31,11.59,$0.99,11.68
2012-12-31,8.89,$0.98,9.05
2012-09-30,8.69,$1.00,8.65
2012-06-30,6.99,$0.83,8.41
2012-03-31,6.83,$0.87,7.81
2011-12-31,4.87,$0.50,9.76
2011-09-30,4.97,$0.56,8.9
2011-06-30,5.88,$0.61,9.69
2011-03-31,5.13,$0.64,8.05
2010-12-31,5.18,$0.44,11.91
2010-09-30,5.19,$0.27,19.37
2010-06-30,4.09,$0.05,81.91
2010-03-31,3.1,$0.31,9.9
2009-12-31,3.44,$0.98,3.52
