Commerce Bancshares Price to Free Cash Flow Ratio Historical Data,Commerce Bancshares Price to Free Cash Flow Ratio Historical Data,Commerce Bancshares Price to Free Cash Flow Ratio Historical Data,Commerce Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.44,,10.13
2024-09-30,56.35,$6.07,9.29
2024-06-30,52.69,$3.73,14.12
2024-03-31,50.0,$3.21,15.56
2023-12-31,49.94,$2.97,16.84
2023-09-30,44.62,$2.66,16.79
2023-06-30,45.05,$2.94,15.31
2023-03-31,53.68,$3.51,15.31
2022-12-31,62.37,$3.59,17.37
2022-09-30,57.52,$3.95,14.57
2022-06-30,56.85,$3.75,15.18
2022-03-31,61.76,$3.48,17.76
2021-12-31,59.07,$4.09,14.44
2021-09-30,56.8,$4.48,12.69
2021-06-30,60.55,$5.09,11.9
2021-03-31,62.01,$5.29,11.72
2020-12-31,53.0,$4.39,12.07
2020-09-30,45.21,$4.15,10.88
2020-06-30,47.55,$3.35,14.2
2020-03-31,40.09,$3.00,13.36
2019-12-31,53.86,$3.41,15.81
2019-09-30,47.88,$3.29,14.57
2019-06-30,46.89,$3.47,13.5
2019-03-31,45.43,$3.71,12.24
2018-12-31,43.92,$3.76,11.69
2018-09-30,51.44,$3.61,14.25
2018-06-30,50.25,$3.38,14.88
2018-03-31,46.36,$2.85,16.25
2017-12-31,43.04,$2.81,15.32
2017-09-30,42.24,$2.95,14.33
2017-06-30,41.38,$2.68,15.47
2017-03-31,40.72,$2.71,15.01
2016-12-31,41.76,$3.12,13.4
2016-09-30,33.75,$2.38,14.18
2016-06-30,32.67,$2.41,13.58
2016-03-31,30.52,$2.58,11.82
2015-12-31,28.73,$1.82,15.75
2015-09-30,29.16,$2.24,13.02
2015-06-30,29.78,$2.09,14.28
2015-03-31,26.82,$1.96,13.66
2014-12-31,27.41,$2.13,12.84
2014-09-30,26.66,$2.17,12.27
2014-06-30,27.63,$2.46,11.22
2014-03-31,27.45,$2.37,11.6
2013-12-31,26.42,$2.21,11.97
2013-09-30,24.54,$2.20,11.14
2013-06-30,24.27,$2.04,11.92
2013-03-31,22.64,$2.11,10.73
2012-12-31,19.32,$2.24,8.64
2012-09-30,21.17,$2.34,9.05
2012-06-30,19.78,$2.50,7.92
2012-03-31,21.02,$2.53,8.32
2011-12-31,19.65,$2.40,8.19
2011-09-30,17.06,$3.42,4.99
2011-06-30,20.99,$4.58,4.59
2011-03-31,19.63,$4.91,4.0
2010-12-31,19.17,$3.96,4.84
2010-09-30,17.28,$2.12,8.15
2010-06-30,16.44,$1.98,8.29
2010-03-31,18.66,$1.78,10.49
2009-12-31,17.47,$1.65,10.58
