ONE Group Hospitality Price to Free Cash Flow Ratio Historical Data,ONE Group Hospitality Price to Free Cash Flow Ratio Historical Data,ONE Group Hospitality Price to Free Cash Flow Ratio Historical Data,ONE Group Hospitality Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.69,,0.0
2024-12-31,2.9,$-0.88,0.0
2024-09-30,3.68,$-0.88,0.0
2024-06-30,4.25,$-1.28,0.0
2024-03-31,5.57,$-0.72,0.0
2023-12-31,6.12,$-0.71,0.0
2023-09-30,5.5,$-0.81,0.0
2023-06-30,7.32,$-0.63,0.0
2023-03-31,8.1,$-0.53,0.0
2022-12-31,6.3,$-0.22,0.0
2022-09-30,6.64,$-0.00,0.0
2022-06-30,7.37,$0.24,31.27
2022-03-31,10.51,$0.60,17.59
2021-12-31,12.61,$0.58,21.85
2021-09-30,10.69,$0.36,29.4
2021-06-30,11.02,$0.47,23.52
2021-03-31,7.48,$0.09,85.78
2020-12-31,3.7,$-0.19,0.0
2020-09-30,2.0,$0.04,52.77
2020-06-30,1.63,$-0.07,0.0
2020-03-31,1.29,$-0.02,0.0
2019-12-31,3.64,$0.14,26.94
2019-09-30,2.8,$0.06,47.14
2019-06-30,3.2,$0.04,77.29
2019-03-31,2.96,$0.10,28.54
2018-12-31,3.07,$0.08,36.85
2018-09-30,3.53,$-0.04,0.0
2018-06-30,2.43,$0.03,72.54
2018-03-31,2.75,$0.07,39.57
2017-12-31,2.39,$0.05,44.1
2017-09-30,1.68,$-0.04,0.0
2017-06-30,2.17,$-0.20,0.0
2017-03-31,1.9,$-0.20,0.0
2016-12-31,2.22,$-0.34,0.0
2016-09-30,2.5,$-0.27,0.0
2016-06-30,2.61,$-0.37,0.0
2016-03-31,3.0,$-0.49,0.0
2015-12-31,2.97,$-0.46,0.0
2015-09-30,3.55,$-0.44,0.0
2015-06-30,4.19,$-0.22,0.0
2015-03-31,5.0,$-0.39,0.0
