Movado Group Price to Free Cash Flow Ratio Historical Data,Movado Group Price to Free Cash Flow Ratio Historical Data,Movado Group Price to Free Cash Flow Ratio Historical Data,Movado Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.97,,19.7
2024-10-31,18.16,$0.91,19.91
2024-07-31,25.01,$1.07,23.45
2024-04-30,24.26,$3.21,7.56
2024-01-31,25.94,$3.03,8.57
2023-10-31,25.87,$3.34,7.76
2023-07-31,26.32,$3.50,7.52
2023-04-30,23.19,$1.96,11.85
2023-01-31,30.44,$2.06,14.79
2022-10-31,28.16,$2.56,11.02
2022-07-31,28.61,$3.17,9.03
2022-04-30,29.98,$5.00,5.99
2022-01-31,30.61,$5.29,5.79
2021-10-31,27.34,$4.69,5.83
2021-07-31,24.54,$4.26,5.75
2021-04-30,25.43,$3.35,7.59
2021-01-31,16.63,$2.87,5.79
2020-10-31,8.74,$2.84,3.07
2020-07-31,7.72,$2.02,3.81
2020-04-30,8.26,$0.88,9.37
2020-01-31,13.8,$0.84,16.4
2019-10-31,20.65,$0.08,270.69
2019-07-31,20.7,$1.54,13.43
2019-04-30,27.81,$2.20,12.65
2019-01-31,24.78,$3.20,7.74
2018-10-31,29.68,$3.47,8.57
2018-07-31,38.21,$2.60,14.7
2018-04-30,30.15,$2.67,11.29
2018-01-31,23.27,$2.12,10.98
2017-10-31,20.97,$2.32,9.05
2017-07-31,18.54,$2.42,7.65
2017-04-30,17.53,$2.44,7.2
2017-01-31,20.23,$2.24,9.01
2016-10-31,16.35,$1.98,8.28
2016-07-31,16.66,$2.15,7.76
2016-04-30,20.67,$2.39,8.67
2016-01-31,18.74,$2.80,6.7
2015-10-31,18.69,$2.32,8.05
2015-07-31,18.33,$2.24,8.19
2015-04-30,21.1,$1.91,11.05
2015-01-31,17.26,$1.89,9.11
2014-10-31,25.26,$1.04,24.28
2014-07-31,29.21,$1.48,19.78
2014-04-30,27.96,$1.87,14.94
2014-01-31,26.81,$1.55,17.32
2013-10-31,33.05,$1.18,27.9
2013-07-31,25.81,$0.75,34.46
2013-04-30,21.36,$1.03,20.81
2013-01-31,25.79,$0.89,29.03
2012-10-31,21.85,$1.95,11.23
2012-07-31,16.14,$2.56,6.31
2012-04-30,19.48,$2.08,9.39
2012-01-31,12.41,$3.14,3.95
2011-10-31,11.26,$2.50,4.5
2011-07-31,10.87,$2.39,4.55
2011-04-30,11.19,$1.71,6.53
2011-01-31,9.64,$1.34,7.22
2010-10-31,7.52,$1.43,5.27
2010-07-31,7.6,$1.45,5.23
2010-04-30,8.3,$1.43,5.79
2010-01-31,7.31,$1.22,6.02
2009-10-31,7.01,$-1.90,0.0
