Kinross Gold Price to Free Cash Flow Ratio Historical Data,Kinross Gold Price to Free Cash Flow Ratio Historical Data,Kinross Gold Price to Free Cash Flow Ratio Historical Data,Kinross Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.32,,14.87
2024-09-30,9.33,$0.83,11.26
2024-06-30,8.27,$0.56,14.8
2024-03-31,6.09,$0.49,12.4
2023-12-31,5.98,$0.41,14.43
2023-09-30,4.48,$0.46,9.8
2023-06-30,4.66,$0.38,12.4
2023-03-31,4.57,$0.26,17.92
2022-12-31,3.94,$0.22,17.73
2022-09-30,3.59,$0.02,217.74
2022-06-30,3.39,$-0.26,0.0
2022-03-31,5.53,$-0.06,0.0
2021-12-31,5.44,$-0.10,0.0
2021-09-30,4.99,$0.29,17.13
2021-06-30,5.88,$0.81,7.27
2021-03-31,6.16,$0.70,8.74
2020-12-31,6.74,$0.83,8.14
2020-09-30,8.04,$0.63,12.71
2020-06-30,6.58,$0.36,18.18
2020-03-31,3.63,$0.24,15.4
2019-12-31,4.32,$0.16,27.75
2019-09-30,4.19,$-0.03,0.0
2019-06-30,3.54,$-0.14,0.0
2019-03-31,3.14,$-0.23,0.0
2018-12-31,2.95,$-0.20,0.0
2018-09-30,2.46,$-0.08,0.0
2018-06-30,3.43,$0.03,113.85
2018-03-31,3.6,$0.07,55.22
2017-12-31,3.94,$0.05,79.22
2017-09-30,3.86,$0.08,51.25
2017-06-30,3.71,$0.17,21.99
2017-03-31,3.2,$0.34,9.31
2016-12-31,2.83,$0.39,7.33
2016-09-30,3.84,$0.33,11.52
2016-06-30,4.46,$0.30,14.95
2016-03-31,3.1,$0.17,18.0
2015-12-31,1.66,$0.19,8.55
2015-09-30,1.57,$0.16,9.53
2015-06-30,2.11,$0.24,8.7
2015-03-31,2.04,$0.24,8.35
2014-12-31,2.57,$0.19,13.5
2014-09-30,3.01,$0.09,31.79
2014-06-30,3.77,$-0.19,0.0
2014-03-31,3.77,$-0.40,0.0
2013-12-31,3.99,$-0.40,0.0
2013-09-30,4.6,$-0.28,0.0
2013-06-30,4.65,$-0.25,0.0
2013-03-31,7.23,$-0.37,0.0
2012-12-31,8.77,$-0.54,0.0
2012-09-30,9.21,$-0.70,0.0
2012-06-30,7.3,$-0.66,0.0
2012-03-31,8.77,$-0.41,0.0
2011-12-31,10.13,$-0.20,0.0
2011-09-30,13.13,$-0.82,0.0
2011-06-30,13.99,$0.04,321.55
2011-03-31,13.94,$0.24,57.33
2010-12-31,16.73,$0.36,46.45
2010-09-30,16.58,$1.37,12.15
2010-06-30,15.04,$0.59,25.66
2010-03-31,15.04,$0.50,30.04
2009-12-31,16.14,$0.38,42.44
