Vaccinex Price to Free Cash Flow Ratio Historical Data,Vaccinex Price to Free Cash Flow Ratio Historical Data,Vaccinex Price to Free Cash Flow Ratio Historical Data,Vaccinex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,3.3,,0.0
2024-06-30,6.49,$-5.48,0.0
2024-03-31,7.41,$-19.39,0.0
2023-12-31,9.31,$-37.29,0.0
2023-09-30,15.82,$-65.74,0.0
2023-06-30,74.76,$-80.62,0.0
2023-03-31,83.9,$-89.23,0.0
2022-12-31,135.35,$-94.92,0.0
2022-09-30,103.95,$-118.53,0.0
2022-06-30,226.8,$-176.22,0.0
2022-03-31,277.2,$-211.43,0.0
2021-12-31,218.4,$-271.86,0.0
2021-09-30,453.6,$-294.82,0.0
2021-03-31,625.8,$-280.78,0.0
2020-12-31,434.7,$-323.42,0.0
2020-09-30,373.8,$-356.57,0.0
2020-06-30,758.1,$-403.15,0.0
2020-03-31,840.0,$-448.77,0.0
2019-12-31,1018.5,$-501.97,0.0
2019-09-30,1505.7,$-879.21,0.0
2019-06-30,1159.2,"$-1,186.72",0.0
2019-03-31,1104.6,"$-1,180.50",0.0
