Cross Country Healthcare Price to Free Cash Flow Ratio Historical Data,Cross Country Healthcare Price to Free Cash Flow Ratio Historical Data,Cross Country Healthcare Price to Free Cash Flow Ratio Historical Data,Cross Country Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.8,,4.43
2024-12-31,18.16,$3.34,5.44
2024-09-30,13.44,$2.91,4.61
2024-06-30,13.84,$4.61,3.01
2024-03-31,18.72,$5.54,3.38
2023-12-31,22.64,$6.61,3.42
2023-09-30,24.79,$6.47,3.83
2023-06-30,28.08,$8.19,3.43
2023-03-31,22.32,$5.34,4.18
2022-12-31,26.57,$3.34,7.96
2022-09-30,28.37,$1.25,22.62
2022-06-30,20.83,$-2.54,0.0
2022-03-31,21.67,$-2.60,0.0
2021-12-31,27.76,$-2.48,0.0
2021-09-30,21.24,$-0.43,0.0
2021-06-30,16.51,$-0.57,0.0
2021-03-31,12.49,$-0.53,0.0
2020-12-31,8.87,$0.63,14.17
2020-09-30,6.49,$0.42,15.33
2020-06-30,6.16,$0.28,22.05
2020-03-31,6.74,$0.20,34.18
2019-12-31,11.62,$0.07,159.83
2019-09-30,10.3,$0.19,53.9
2019-06-30,9.38,$0.68,13.77
2019-03-31,7.03,$0.45,15.73
2018-12-31,7.33,$0.46,15.94
2018-09-30,8.73,$0.95,9.21
2018-06-30,11.25,$0.94,11.98
2018-03-31,11.11,$1.45,7.67
2017-12-31,12.76,$1.12,11.42
2017-09-30,14.23,$0.58,24.34
2017-06-30,12.91,$0.95,13.64
2017-03-31,14.36,$0.62,23.28
2016-12-31,15.61,$0.65,23.95
2016-09-30,11.78,$0.71,16.49
2016-06-30,13.92,$0.66,21.15
2016-03-31,11.63,$0.55,21.3
2015-12-31,16.39,$0.49,33.21
2015-09-30,13.61,$0.47,28.81
2015-06-30,12.68,$0.15,86.38
2015-03-31,11.86,$0.09,125.77
2014-12-31,12.48,$-0.28,0.0
2014-09-30,9.29,$-0.35,0.0
2014-06-30,6.52,$-0.17,0.0
2014-03-31,8.07,$-0.10,0.0
2013-12-31,9.98,$0.22,44.79
2013-09-30,6.04,$0.49,12.32
2013-06-30,5.16,$0.32,16.28
2013-03-31,5.31,$0.17,31.24
2012-12-31,4.8,$0.26,18.68
2012-09-30,4.73,$0.20,23.28
2012-06-30,4.37,$0.23,18.71
2012-03-31,5.01,$0.47,10.6
2011-12-31,5.55,$0.46,12.08
2011-09-30,4.18,$0.55,7.56
2011-06-30,7.6,$0.49,15.37
2011-03-31,7.83,$0.63,12.38
2010-12-31,8.47,$0.94,9.04
2010-09-30,7.19,$0.83,8.72
2010-06-30,8.99,$1.42,6.35
2010-03-31,10.11,$1.78,5.67
2009-12-31,9.91,$2.26,4.39
