Paycor HCM Price to Free Cash Flow Ratio Historical Data,Paycor HCM Price to Free Cash Flow Ratio Historical Data,Paycor HCM Price to Free Cash Flow Ratio Historical Data,Paycor HCM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.38,,62.53
2024-12-31,18.57,$0.36,51.89
2024-09-30,14.19,$0.30,46.74
2024-06-30,12.7,$0.20,63.15
2024-03-31,19.44,$0.10,197.96
2023-12-31,21.59,$0.08,280.75
2023-09-30,22.83,$-0.04,0.0
2023-06-30,23.67,$0.00,0.0
2023-03-31,26.52,$-0.07,0.0
2022-12-31,24.47,$-0.08,0.0
2022-09-30,29.56,$-0.09,0.0
2022-06-30,26.0,$-0.05,0.0
