Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data,Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data,Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data,Guaranty Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.19,,7.85
2024-12-31,34.6,$5.12,6.76
2024-09-30,34.38,$5.52,6.23
2024-06-30,31.32,$2.92,10.72
2024-03-31,29.91,$2.29,13.04
2023-12-31,32.86,$3.07,10.72
2023-09-30,27.85,$1.31,21.33
2023-06-30,26.08,$3.05,8.54
2023-03-31,26.61,$2.30,11.58
2022-12-31,32.81,$2.90,11.33
2022-09-30,32.55,$2.63,12.37
2022-06-30,33.9,$3.40,9.96
2022-03-31,32.53,$4.06,8.01
2021-12-31,34.71,$3.43,10.13
2021-09-30,32.94,$4.03,8.17
2021-06-30,31.13,$3.79,8.21
2021-03-31,33.39,$3.20,10.44
2020-12-31,24.59,$3.06,8.04
2020-09-30,20.3,$2.72,7.46
2020-06-30,20.93,$2.73,7.67
2020-03-31,18.57,$2.04,9.12
2019-12-31,26.15,$2.14,12.19
2019-09-30,24.2,$2.28,10.61
2019-06-30,24.49,$1.92,12.75
2019-03-31,22.85,$2.63,8.68
2018-12-31,23.18,$2.49,9.3
2018-09-30,23.36,$2.29,10.2
2018-06-30,25.33,$1.97,12.85
2018-03-31,25.51,$3.20,7.98
