ALX Oncology Holdings Price to Free Cash Flow Ratio Historical Data,ALX Oncology Holdings Price to Free Cash Flow Ratio Historical Data,ALX Oncology Holdings Price to Free Cash Flow Ratio Historical Data,ALX Oncology Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.75,,0.0
2024-12-31,1.67,$-2.35,0.0
2024-09-30,1.82,$-2.54,0.0
2024-06-30,6.03,$-2.80,0.0
2024-03-31,11.15,$-3.12,0.0
2023-12-31,14.89,$-3.06,0.0
2023-09-30,4.8,$-2.75,0.0
2023-06-30,7.51,$-2.80,0.0
2023-03-31,4.52,$-2.40,0.0
2022-12-31,11.27,$-2.23,0.0
2022-09-30,9.57,$-2.26,0.0
2022-06-30,8.09,$-2.12,0.0
2022-03-31,16.9,$-2.21,0.0
2021-12-31,21.49,$-1.81,0.0
2021-09-30,73.86,$-2.50,0.0
2021-06-30,54.68,$-2.71,0.0
