Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data,Ingersoll Rand Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.67,,26.53
2024-12-31,90.46,$3.08,29.38
2024-09-30,98.14,$3.22,30.46
2024-06-30,90.8,$3.19,28.48
2024-03-31,94.89,$2.99,31.71
2023-12-31,77.27,$3.13,24.7
2023-09-30,63.65,$2.56,24.86
2023-06-30,65.27,$2.28,28.66
2023-03-31,58.08,$2.18,26.63
2022-12-31,52.14,$1.88,27.75
2022-09-30,43.15,$1.63,26.52
2022-06-30,41.96,$1.33,31.55
2022-03-31,50.18,$1.24,40.33
2021-12-31,61.64,$1.36,45.29
2021-09-30,50.21,$1.58,31.83
2021-06-30,48.61,$1.69,28.7
2021-03-31,49.01,$1.69,29.06
2020-12-31,45.37,$1.60,28.33
2020-09-30,35.46,$0.74,47.97
2020-06-30,28.01,$0.80,34.91
2020-03-31,24.7,$0.74,33.49
2019-12-31,36.53,$0.89,41.03
2019-09-30,28.18,$1.62,17.44
2019-06-30,34.46,$1.56,22.12
2019-03-31,27.7,$1.90,14.56
2018-12-31,20.37,$1.89,10.76
2018-09-30,28.22,$1.84,15.34
2018-06-30,29.27,$1.66,17.62
2018-03-31,30.56,$1.06,28.79
