Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,339.5,,36.65
2024-12-31,316.04,$9.26,34.11
2024-09-30,274.43,$8.34,32.91
2024-06-30,261.45,$8.35,31.3
2024-03-31,277.48,$8.51,32.61
2023-12-31,258.37,$8.21,31.47
2023-09-30,227.77,$8.42,27.06
2023-06-30,234.73,$7.92,29.64
2023-03-31,222.42,$7.67,29.02
2022-12-31,204.55,$7.46,27.42
2022-09-30,174.5,$7.48,23.34
2022-06-30,193.06,$6.69,28.85
2022-03-31,217.04,$6.32,34.35
2021-12-31,211.73,$6.26,33.82
2021-09-30,217.26,$5.94,36.55
2021-06-30,227.74,$5.18,43.99
2021-03-31,205.93,$4.59,44.85
2020-12-31,212.41,$3.80,55.84
2020-09-30,193.9,$3.91,49.53
2020-06-30,187.02,$4.64,40.32
2020-03-31,155.73,$4.75,32.76
2019-12-31,181.35,$5.00,36.26
2019-09-30,165.74,$4.76,34.85
2019-06-30,167.22,$4.52,37.01
2019-03-31,150.26,$4.64,32.36
2018-12-31,126.71,$4.93,25.68
2018-09-30,143.89,$4.73,30.44
2018-06-30,126.79,$4.48,28.3
2018-03-31,114.32,$4.35,26.28
2017-12-31,108.78,$3.40,31.99
2017-09-30,100.23,$3.25,30.85
2017-06-30,89.17,$3.09,28.82
2017-03-31,84.35,$1.89,44.57
2016-12-31,73.92,$2.07,35.72
2016-09-30,78.19,$1.89,41.46
2016-06-30,70.0,$1.61,43.39
2016-03-31,72.05,$2.30,31.35
2015-12-31,72.92,$2.35,30.99
2015-09-30,65.39,$2.27,28.82
2015-06-30,62.93,$2.24,28.06
2015-03-31,61.19,$2.16,28.38
2014-12-31,61.21,$2.59,23.59
2014-09-30,49.72,$2.38,20.88
2014-06-30,49.0,$2.53,19.33
2014-03-31,50.11,$2.41,20.76
2013-12-31,51.6,$2.05,25.23
2013-09-30,44.19,$0.88,50.18
2013-06-30,42.18,$0.50,85.16
2013-03-31,39.13,$0.25,155.16
2012-12-31,34.85,$0.13,278.57
2012-09-30,30.8,$1.20,25.62
2012-06-30,28.31,$1.06,26.83
2012-03-31,26.97,$1.09,24.83
2011-12-31,23.16,$0.94,24.55
2011-09-30,19.51,$0.86,22.66
2011-06-30,19.14,$0.86,22.16
2011-03-31,16.69,$0.80,20.92
2010-12-31,15.93,$0.79,20.05
2010-09-30,16.77,$0.56,29.97
2010-06-30,15.95,$0.32,50.56
2010-03-31,20.49,$0.11,191.88
2009-12-31,19.66,$0.04,491.5
