Nektar Therapeutics Price to Free Cash Flow Ratio Historical Data,Nektar Therapeutics Price to Free Cash Flow Ratio Historical Data,Nektar Therapeutics Price to Free Cash Flow Ratio Historical Data,Nektar Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.87,,0.0
2024-12-31,0.93,$-0.86,0.0
2024-09-30,1.3,$-0.87,0.0
2024-06-30,1.24,$-0.87,0.0
2024-03-31,0.93,$-0.98,0.0
2023-12-31,0.57,$-1.01,0.0
2023-09-30,0.6,$-1.01,0.0
2023-06-30,0.58,$-1.23,0.0
2023-03-31,0.7,$-1.36,0.0
2022-12-31,2.26,$-1.58,0.0
2022-09-30,3.2,$-2.21,0.0
2022-06-30,3.8,$-2.33,0.0
2022-03-31,5.39,$-2.39,0.0
2021-12-31,13.51,$-2.33,0.0
2021-09-30,17.96,$-2.03,0.0
2021-06-30,17.16,$-1.78,0.0
2021-03-31,20.0,$-1.79,0.0
2020-12-31,17.0,$-1.80,0.0
2020-09-30,16.59,$-1.97,0.0
2020-06-30,23.16,$-2.09,0.0
2020-03-31,17.85,$-1.98,0.0
2019-12-31,21.59,$-2.03,0.0
2019-09-30,18.22,$-2.19,0.0
2019-06-30,35.58,$-1.92,0.0
2019-03-31,33.6,$3.76,8.94
2018-12-31,32.87,$3.92,8.38
2018-09-30,60.96,$4.29,14.21
2018-06-30,48.83,$5.03,9.7
2018-03-31,106.26,$-0.66,0.0
2017-12-31,59.72,$-0.58,0.0
2017-09-30,24.0,$-0.43,0.0
2017-06-30,19.55,$-1.23,0.0
2017-03-31,23.47,$-0.95,0.0
2016-12-31,12.27,$-0.88,0.0
2016-09-30,17.18,$-1.08,0.0
2016-06-30,14.23,$-1.02,0.0
2016-03-31,13.75,$-1.28,0.0
2015-12-31,16.85,$-0.64,0.0
2015-09-30,10.96,$-0.31,0.0
2015-06-30,12.51,$-0.51,0.0
2015-03-31,11.0,$-0.20,0.0
2014-12-31,15.5,$-1.20,0.0
2014-09-30,12.07,$-0.49,0.0
2014-06-30,12.82,$-0.34,0.0
2014-03-31,12.12,$-0.58,0.0
2013-12-31,11.35,$-0.37,0.0
2013-09-30,10.45,$-1.26,0.0
2013-06-30,11.55,$-1.35,0.0
2013-03-31,11.0,$-1.24,0.0
2012-12-31,7.41,$-1.22,0.0
2012-09-30,10.68,$-1.16,0.0
2012-06-30,8.07,$-1.11,0.0
2012-03-31,7.92,$-1.24,0.0
2011-12-31,5.6,$-1.09,0.0
2011-09-30,4.85,$-0.58,0.0
2011-06-30,7.27,$-0.75,0.0
2011-03-31,9.47,$-0.69,0.0
2010-12-31,12.85,$-0.93,0.0
2010-09-30,14.77,$0.25,58.8
2010-06-30,12.1,$0.39,30.96
2010-03-31,15.21,$0.31,48.86
2009-12-31,9.32,$0.21,45.42
